,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating
206,Pervis Estupiñán,Villarreal,26," D(L),M(L)",17(11),1574,-,1,3,-,0.5,81.5,0.8,-,6.52
207,Pere Milla,Elche,31," AM(CLR),FW",18(15),1640,8,3,5,-,0.9,72.4,1,2,6.51
208,Nemanja Gudelj,Sevilla,32," D(C),M(C)",9(12),1040,-,-,5,-,0.2,89.3,1.4,-,6.51
209,Néstor Araújo,Celta Vigo,32, D(C),29(5),2617,-,-,4,-,0.2,85.6,1.9,-,6.51
210,Marc-André ter Stegen,Barcelona,32, GK,35,3150,-,-,3,-,-,85.9,0.2,-,6.51
211,Sergio Escudero,Granada,34," D(L),M(L)",15(12),1429,2,1,6,-,0.8,71.5,1.2,-,6.50
212,Gonzalo Melero,Levante,30," M(C),FW",20(9),1697,7,2,5,-,0.8,85,1,2,6.50
213,Florian Lejeune,Deportivo Alaves,32, D(C),30,2700,-,-,7,1,0.7,78,2.4,-,6.50
214,Domingos Duarte,Granada,29, D(C),19(2),1689,1,-,7,1,0.3,77.3,1.9,-,6.50
215,Rubén Sobrino,Cadiz,31," AM(CLR),FW",19(14),1856,4,1,4,-,1,73.6,1.2,1,6.50
216,Víctor Laguardia,Deportivo Alaves,34, D(C),34,3044,3,2,9,-,0.4,75.2,1.9,1,6.50
217,Josan,Elche,34," D(R),M(R)",10(21),1200,2,3,2,-,0.4,78.7,0.1,-,6.49
218,Fernando Pacheco,Deportivo Alaves,31, GK,34,3054,-,-,1,-,-,59.7,0.1,1,6.49
219,Jorge Miramón,Levante,34," D(R),M(R)",22(7),1976,1,-,5,-,0.2,74.7,0.6,-,6.49
220,Héctor Herrera,Atletico,34, M(C),8(13),852,-,-,4,-,0.4,84.8,1.1,-,6.49
221,Quini,Granada,34, D(LR),27(5),2305,-,1,11,-,0.5,69.6,0.8,-,6.49
222,Hugo Duro,Valencia,24," AM(L),FW",22(8),1847,7,1,2,1,1,71.8,1.3,-,6.49
223,Martin Valjent,Mallorca,28, D(C),36,3183,-,-,4,-,0.3,81.2,1.7,-,6.49
224,Óscar Mingueza,Barcelona,24," D(CR),M(R)",9(10),892,-,1,2,-,0.1,89.3,0.5,-,6.49
225,Sergi Guardiola,Rayo Vallecano,32, FW,20(12),1716,8,2,3,-,1.6,69,0.8,1,6.49
226,Carlos Neva,Granada,27," D(L),M(L)",24(2),2115,-,-,1,-,0.2,72.2,0.8,-,6.48
227,Unai Vencedor,Athletic Club,23, DMC,29(5),2397,-,-,4,-,0.6,80.1,0.7,-,6.48
228,Aihen Muñoz,Real Sociedad,26, D(L),15(5),1345,-,-,2,1,0.4,78.6,1.3,-,6.48
229,Enzo Roco,Elche,31, D(C),29(1),2555,1,-,10,-,0.4,82.4,2,-,6.48
230,Germán Sánchez,Granada,37, D(C),25(7),2298,2,1,9,1,0.4,74.5,2,-,6.47
231,Kike García,Osasuna,34, FW,18(15),1860,5,1,2,-,1.6,67.6,2.3,1,6.47
232,Rodri,Real Betis,23, AM(CLR),10(11),882,1,2,-,-,0.7,82.9,-,-,6.47
233,Iborra,Villarreal,36, M(C),12(8),1032,-,1,4,-,0.4,85.8,1.3,-,6.47
234,Renan Lodi,Atletico,26," D(L),M(L)",13(16),1181,2,2,5,-,0.3,81.6,1,2,6.47
235,Tete Morente,Elche,27, M(CLR),18(14),1636,3,3,4,-,0.9,74.4,0.7,2,6.47
236,Manolo Reina,Mallorca,39, GK,23,1892,-,-,5,1,-,60.3,0.3,3,6.47
237,Juan Cruz,Osasuna,31, D(CL),22(1),1935,-,-,4,-,0.1,82.9,1,-,6.46
238,Dimitri Foulquier,Valencia,31," D(CLR),M(R)",25(4),2337,-,1,11,-,0.6,67.7,0.7,1,6.46
239,Gerard Gumbau,Elche,29, DMC,20(11),1891,-,4,8,1,0.7,84.1,0.6,1,6.46
240,Chimy Ávila,Osasuna,30," AM(LR),FW",22(14),1875,6,1,7,1,1.8,60,1.4,1,6.46
241,Pathé Ciss,Rayo Vallecano,30, DMC,11(20),1087,2,1,5,-,0.6,83.3,1.1,1,6.46
242,Hugo Guillamón,Valencia,24," D(C),DMC",28(3),2368,1,-,8,2,0.2,80.5,1.5,-,6.45
243,Óliver Torres,Sevilla,29, M(CLR),11(15),1008,2,3,2,-,0.5,82.1,0.2,-,6.45
244,Rúben Vezo,Levante,30, D(CR),27(5),2420,-,-,4,-,0.6,83.6,1.6,-,6.45
245,Renato Tapia,Celta Vigo,28," D(C),DMC",13(16),1406,-,-,10,-,0.4,80,1,1,6.45
246,Manu García,Deportivo Alaves,26, M(CL),10(14),1075,-,1,3,-,0.3,78.7,0.1,-,6.45
247,Stefan Mitrovic,Getafe,33, D(C),31(1),2673,-,-,8,1,0.1,78.6,1.8,-,6.45
248,Carlos Clerc,Levante,32," D(CL),M(L)",18(1),1518,-,-,6,-,0.1,77.4,0.8,1,6.44
249,Radamel Falcao,Rayo Vallecano,38, FW,8(14),832,6,-,1,-,1.5,77.8,1.2,-,6.44
250,Tomás Alarcón,Cadiz,25, DMC,16(7),1425,-,1,5,-,0.7,76.2,0.7,-,6.44
251,Carles Aleñá,Getafe,26, AM(CLR),30(3),2344,1,2,6,1,1.4,81.5,0.4,-,6.44
252,Dani Cárdenas,Levante,27, GK,24,2160,-,-,3,-,-,64.4,0.1,-,6.43
253,Brian Oliván,Mallorca,30, D(CL),24(4),2189,1,-,7,-,0.7,68.2,0.8,-,6.43
254,Kike Barja,Osasuna,27, AM(LR),9(12),863,2,-,2,-,0.8,77.7,0.4,-,6.43
255,Dani García,Athletic Club,33, DMC,27(5),2194,-,-,9,-,0.4,78.1,1.1,-,6.43
256,Cote,Osasuna,34, D(L),12(11),1083,1,1,2,1,0.5,78.7,0.4,-,6.43
257,Manu Morlanes,Espanyol,25, DMC,11(16),1143,2,-,6,1,0.3,86.4,0.7,-,6.42
258,Victor Chust,Cadiz,24, D(C),20(5),1830,-,-,2,-,0.4,84.3,1.2,-,6.42
259,Mouctar Diakhaby,Valencia,27," D(C),DMC",21(8),1945,-,1,11,-,0.3,74.7,1.1,-,6.42
260,Gonzalo Verdú,Elche,35, D(C),17(3),1388,-,-,11,-,0.2,84.2,1.4,-,6.42
261,Antonio Sánchez,Mallorca,27," D(R),M(CR)",19(10),1622,1,-,3,-,0.6,79.3,0.4,1,6.42
