,Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
184,Cristiano Biraghi,1.2,0.8,0.8,0.2,1.4,0.5,0.3,-
185,Miguel Veloso,1.2,0.6,0.9,-,1,1.2,-,-
186,Pau López,0.1,-,-,-,0.6,-,-,-
187,Borja Mayoral,0.1,-,0.3,-,0.2,0.3,-,-
188,Pepe Reina,-,-,-,-,0.5,-,-,-
189,Samir,1.3,1.9,1.3,0.2,1.9,0.5,0.6,-
190,Luca Ceppitelli,1.3,1.3,0.8,0.5,3,0.6,0.6,-
191,Koffi Djidji,2,1.4,1.1,0.7,3.5,0.5,1,-
192,Roberto Gagliardini,1.1,0.7,0.8,-,0.5,0.8,0.1,-
193,Matteo Darmian,1.2,0.7,0.8,-,1.2,0.5,0.1,-
194,Gonzalo Villar,1.3,0.7,1.5,-,0.4,1.3,0.1,-
195,Matteo Pessina,0.5,0.6,0.9,-,0.2,0.6,0.1,-
196,Gianluca Lapadula,0.6,0.1,1.3,-,0.4,0.5,0.1,-
197,Kevin Agudelo,1.3,0.3,0.7,-,-,0.8,-,-
198,Bruno Alves,0.7,1.4,1.1,0.4,4.2,0.1,0.6,-
199,Eldor Shomurodov,0.9,0.2,1.3,-,0.3,0.9,0.1,-
200,Salvador Ferrer,1.1,1.3,0.8,0.5,1.9,0.8,0.2,-
201,Joakim Mæhle,0.9,0.6,0.5,-,0.2,0.6,0.1,-
202,Stefano Okaka,0.5,0.1,1.7,-,0.9,0.4,-,-
203,Adrien Silva,2,1.3,1.5,-,0.3,1.5,-,-
204,Jasmin Kurtic,1.4,1,1.3,-,1.6,1.4,0.1,-
205,Marvin Zeegelaar,1.7,1,1.6,-,1.5,0.8,0.4,-
206,Andrea Petagna,0.1,-,0.7,-,0.3,0.2,-,-
207,Rogério,0.9,1.1,1,0.3,1.5,0.3,0.2,-
208,Martin Erlic,0.9,1.5,1.4,0.8,2.5,0.3,0.6,-
209,Bruno Peres,0.7,0.9,0.8,0.1,0.3,0.4,0.1,-
210,Felipe Caicedo,0.4,0.2,1,-,0.1,0.3,-,-
211,Salvatore Molina,1.3,0.6,0.8,0.1,1,0.6,0.3,1
212,Ashley Young,0.6,0.2,0.5,0.1,1,0.4,-,-
213,Pierluigi Gollini,-,-,-,-,0.7,-,-,-
214,Matteo Ricci,1.4,1.2,0.9,-,0.4,0.9,0.1,-
215,Diego Farias,0.3,0.4,0.6,-,0.1,0.6,-,-
216,Leonardo Pavoletti,0.2,0.1,1.3,-,0.9,0.6,0.1,-
217,Nicolò Rovella,1.5,1,1,-,0.9,1.2,-,-
218,Keita Baldé,0.4,-,1.3,-,0.1,0.2,-,-
219,Kevin Bonifazi,1.1,1.7,0.9,0.5,2.7,0.5,0.7,-
220,Sofyan Amrabat,1.3,0.7,1.9,0.1,0.4,1,0.2,-
221,Nicolas Nkoulou,0.8,1.8,0.8,0.7,3.9,0.3,0.8,-
222,Gastón Ramírez,1.2,0.2,1.3,-,0.4,0.8,0.1,-
223,Aleksey Miranchuk,1,0.1,0.7,-,-,0.1,-,-
224,Danilo,0.9,1.5,1.1,0.5,3.3,0.6,1,-
225,Gaetano Castrovilli,1,1,1.2,-,0.4,0.9,0.1,-
226,Mattias Svanberg,1.1,0.9,1.4,-,0.6,0.9,0.1,-
227,Ivan Radovanovic,0.5,1.1,0.8,0.2,3.3,0.6,0.6,-
228,Nicolás Domínguez,1.7,0.9,0.8,-,0.7,0.8,0.3,-
229,Andrea Masiello,1.3,1.8,0.5,0.2,3.4,0.8,0.4,-
230,Walace,1.7,1.1,1,-,0.7,1.3,0.1,-
231,Ivan Provedel,0.1,0.1,-,-,0.9,0.1,-,-
232,Miha Zajc,0.7,0.9,0.9,-,0.6,0.8,0.1,-
233,Riccardo Improta,1.1,0.8,0.7,0.1,1.3,0.7,0.1,1
234,Riccardo Gagliolo,1.6,1.3,1,0.2,1.8,0.6,0.3,-
235,Maxime Lopez,0.8,0.6,0.8,-,0.3,0.9,-,-
236,Daniele Verde,0.2,0.4,0.1,-,0.2,0.3,-,-
237,Jakub Jankto,0.8,0.7,0.5,-,0.8,0.7,-,-
238,Marco Silvestri,-,-,0.1,-,0.9,-,-,1
239,Bartlomiej Dragowski,-,-,-,-,0.8,-,-,-
240,Nahuel Molina,0.9,0.7,0.6,0.1,1.3,0.9,0.1,-
241,Sandro Tonali,1.1,0.9,0.7,-,0.7,0.6,0.2,-
242,Giulio Maggiore,1.8,0.6,1.8,0.1,0.6,1,0.2,-
243,Sasa Lukic,1,0.5,1.4,-,0.4,1.1,0.2,-
244,Pawel Dawidowicz,1.4,0.9,1.3,-,2,0.3,0.6,-
245,Mert Müldür,1.5,1.3,0.7,0.2,1.3,0.9,-,-
246,Sebastian Walukiewicz,1.4,1.9,0.9,0.7,3,0.9,0.7,-
247,Claudio Terzi,1.4,1.4,1,0.8,2.2,0.4,0.5,-
248,Germán Pezzella,1.1,1.1,1,0.7,3.3,0.4,0.4,-
249,Samu Castillejo,0.9,0.2,0.9,-,0.3,0.9,-,-
250,Grégoire Defrel,0.5,0.3,0.5,-,0.1,0.3,-,-
251,Roberto Insigne,0.5,0.2,0.4,-,0.3,0.7,-,-
252,Giovanni Simeone,0.7,0.3,0.7,-,0.5,0.7,-,-
253,Andreas Skov Olsen,0.7,0.1,0.5,-,0.7,0.4,-,-
254,Alessandro Tuia,1.4,1.3,1,0.2,3.1,0.4,0.4,-
255,Lorenzo De Silvestri,1.2,1,1.4,0.2,1.7,0.7,0.3,-
256,Juan Musso,-,-,0.1,-,0.3,-,-,-
257,Marash Kumbulla,0.8,1.1,1.2,0.6,1.8,0.6,0.2,-
258,Pedro Obiang,1.1,0.7,0.7,-,0.8,0.7,0.2,-
259,Pasquale Schiattarella,1.3,1.1,1.2,0.1,1,1,0.2,-
260,Matteo Lovato,1,1.5,1,0.3,2,0.5,0.4,-
261,Federico Bernardeschi,0.3,0.5,0.5,-,0.2,0.6,0.1,-
262,Mërgim Vojvoda,1,0.8,0.5,0.1,1.3,0.4,0.2,-
