,Rank,Name,Nation,Pos,Team,Age,Born,Mp,Start,Min,Goals,Ast,G_A,G_PK,PK,PKatt,Yellow,Red
333,334,Lee Soonmin,kr KOR,"MF,DF",Gwangju FC,28,1994,35,30,"2,827",1,1,2,1,0,0,11,0
334,335,Jo Su-huk,kr KOR,GK,Ulsan Hyundai,35,1987,2,2,180,0,0,0,0,0,0,0,0
335,336,Yun Suk-young,kr KOR,DF,Gangwon,32,1990,30,26,"2,385",0,0,0,0,0,0,4,0
336,337,Kim Sun-min,kr KOR,MF,Suwon FC,31,1991,29,21,"1,851",0,0,0,0,0,0,6,0
337,338,Baek Sung-dong,kr KOR,MF,Pohang,31,1991,26,21,"1,645",4,8,12,4,0,0,1,0
338,339,Kim Sung-joon,kr KOR,MF,Ulsan Hyundai,34,1988,6,5,349,0,1,1,0,0,0,0,0
339,340,Choi Sung-keun,kr KOR,MF,Suw Bluewings,31,1991,1,1,19,0,0,0,0,0,0,0,0
340,341,Hwang Sung-min,kr KOR,GK,FC Seoul,31,1991,1,1,90,0,0,0,0,0,0,1,0
341,342,Ki Sung-yueng,kr KOR,MF,FC Seoul,34,1989,35,31,"2,681",2,4,6,2,0,0,5,0
342,343,Jeon Sungjin,kr KOR,"MF,FW",Jeju United FC,21,2001,6,6,186,0,0,0,0,0,0,0,0
343,344,Kwon Sunho,kr KOR,"MF,FW",Jeju United FC,19,2003,12,12,352,0,0,0,0,0,0,1,0
344,345,Keita Suzuki,jp JPN,MF,Daegu,25,1997,26,11,"1,193",2,0,2,2,0,0,5,0
345,346,Kim Tae-hwan,kr KOR,DF,Ulsan Hyundai,33,1989,21,20,"1,643",1,1,2,1,0,0,5,0
346,347,An Tae-hyun,kr KOR,"MF,DF",Jeju United FC,29,1993,24,13,"1,307",1,1,2,1,0,0,2,0
347,348,Lee Taehui,kr KOR,GK,Incheon United,27,1995,9,9,810,0,1,1,0,0,0,0,0
348,349,Kim Taehwan,kr KOR,"DF,MF",Suw Bluewings,22,2000,24,17,"1,550",0,1,1,0,0,0,1,0
349,350,Lee Taeseok,kr KOR,"DF,MF",FC Seoul,20,2002,30,27,"2,170",0,1,1,0,0,0,4,0
350,351,Jeong Taewook,kr KOR,DF,Jeonbuk,25,1997,31,29,"2,674",1,0,1,1,0,0,5,0
351,352,Marko Tuci,me MNE,DF,Gangwon,24,1998,16,15,"1,301",1,0,1,1,0,0,3,0
352,353,Hwang Ui-jo,kr KOR,FW,FC Seoul,30,1992,18,16,"1,437",4,4,8,3,1,1,1,0
353,354,Lars Veldwijk,za RSA,FW,Suwon FC,31,1991,22,16,"1,803",9,5,14,8,1,1,2,0
354,355,Walterson,br BRA,FW,Suwon FC,28,1994,10,1,404,1,0,1,1,0,0,2,0
355,356,Gwon Wan-gyu,kr KOR,DF,FC Seoul,31,1991,8,3,316,0,0,0,0,0,0,3,1
356,357,Wanderson,br BRA,"DF,MF",Pohang,33,1989,20,17,"1,556",2,4,6,1,1,1,3,0
357,358,Willyan,br BRA,"MF,FW",FC Seoul,28,1994,33,18,"1,665",8,3,11,8,0,0,4,0
358,359,Um Wonsang,kr KOR,MF,Ulsan Hyundai,24,1999,28,13,"1,770",4,4,8,4,0,0,1,0
359,360,Lee Wonwoo,kr KOR,DF,Daegu,19,2003,2,0,30,0,0,0,0,0,0,0,0
360,361,Jeong Woo-jae,kr KOR,"DF,MF",Jeonbuk,30,1992,26,22,"1,942",0,1,1,0,0,0,1,0
361,362,Choi Woojin,kr KOR,MF,Incheon United,18,2004,5,4,315,1,1,2,1,0,0,0,0
362,363,Chung Woon,kr KOR,DF,Jeju United FC,33,1989,25,23,"1,973",2,0,2,2,0,0,6,0
363,364,Lee Woong-hee,kr KOR,DF,Gangwon,34,1988,11,10,844,1,0,1,1,0,0,2,0
364,365,Kim Wooseok,kr KOR,"DF,MF",Gangwon,26,1996,13,8,747,0,0,0,0,0,0,0,0
365,366,Lee Yeong-jae,kr KOR,MF,Suwon FC,28,1994,14,12,"1,217",1,3,4,1,0,0,1,0
366,367,Kim Yeonsoo,kr KOR,DF,Incheon United,29,1993,22,19,"1,740",0,0,0,0,0,0,3,0
