,Name,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
183,Dale Stephens,2.8,1.5,1.5,-,1.5,1.5,0.4,-
184,Joe Bryan,2.2,1.1,0.9,0.1,2.5,0.6,0.4,-
185,Ross Barkley,0.6,0.3,0.5,-,0.5,0.4,-,-
186,André Gomes,1.4,0.7,1.8,-,0.7,1.7,0.1,-
187,Glenn Murray,0.4,0.1,2.1,0.1,0.4,0.4,0.1,-
188,Mateo Kovacic,1.4,0.3,0.6,-,0.6,0.8,0.1,-
189,Davy Pröpper,1.7,1.8,1.1,-,1.1,1.2,0.2,-
190,Mark Noble,1.5,0.7,0.7,-,0.4,1.2,0.1,-
191,Anthony Knockaert,1.1,1,0.7,-,0.2,0.6,-,-
192,Gabriel Jesus,0.3,0.1,0.4,-,0.1,0.2,0.1,-
193,Matthew Lowton,2.7,1.4,1,0.1,3.4,1.3,0.3,-
194,Sam Vokes,0.2,-,0.7,-,0.9,-,0.1,-
195,Yves Bissouma,2.2,1.2,1.4,-,0.9,0.6,0.2,-
196,Kepa,-,-,-,-,0.4,-,-,-
197,Alex Iwobi,0.8,0.3,0.2,-,0.3,0.5,-,-
198,Denis Odoi,1.5,1.3,1.2,0.3,4.6,0.4,0.8,1
199,Martin Dúbravka,0.1,-,-,-,0.9,0.1,-,-
200,Dominic Calvert-Lewin,0.4,0.2,1,-,0.5,0.2,0.1,-
201,Cyrus Christie,1.5,1,1,0.2,2.9,0.8,0.4,-
202,Ryan Bertrand,1.9,1.2,1.1,0.1,1.8,0.6,0.2,-
203,Sead Kolasinac,1.4,0.8,0.9,-,1,0.6,0.1,-
204,Aron Gunnarsson,1.8,1.4,0.9,-,1.9,2.2,0.4,-
205,Cheikhou Kouyaté,1.9,0.5,1.1,0.1,1,0.8,0.4,-
206,Jonathan Hogg,2.7,2.5,2,-,0.6,1.4,0.2,-
207,Adrian Mariappa,1.3,1,0.7,0.7,4.5,0.6,0.6,-
208,Tom Cairney,1.2,0.3,0.3,-,0.4,0.1,0.2,-
209,Bernard,1.4,0.8,0.5,-,0.4,1.2,0.1,-
210,Alexis Sánchez,0.9,0.5,0.7,-,0.1,0.4,-,-
211,Jesse Lingard,1.1,0.4,1,-,0.2,0.8,0.1,-
212,Adama Traoré,0.6,0.2,0.5,-,0.2,0.2,-,-
213,Chicharito,0.1,-,0.4,-,0.3,0.2,-,-
214,André Schürrle,1.3,0.3,0.7,-,0.7,1.3,-,-
215,Christopher Schindler,1.6,1.9,0.7,0.6,3.6,0.5,0.9,-
216,Terence Kongolo,2.3,2,0.6,0.4,3,0.6,0.5,1
217,Alex McCarthy,-,-,-,-,0.9,-,-,-
218,Jack Cork,1.4,0.8,0.8,-,2.1,0.8,0.4,-
219,Sergio Rico,-,-,-,-,1.2,-,-,-
220,Mohamed Diamé,2.7,1,1.2,-,1.2,1.3,0.3,-
221,Kiko Femenía,1.7,1.2,0.4,0.2,2.2,0.9,0.2,-
222,Harry Winks,0.8,0.8,0.6,-,0.7,1,0.1,-
223,Jean Seri,1.3,1,1,-,0.4,1,0.3,-
224,Mattéo Guendouzi,1.3,0.9,0.7,0.1,0.7,0.9,0.2,-
225,Lee Peltier,2,0.9,0.8,0.2,2.7,0.6,0.6,-
226,Josh Murphy,0.9,0.4,0.5,-,0.3,0.7,-,-
227,Kasper Schmeichel,-,0.1,-,-,0.8,-,-,-
228,Kenedy,1.2,1.3,0.8,-,0.8,0.7,-,-
229,Jack Stephens,1,1.5,0.5,0.3,3.9,0.5,0.5,-
230,Jonas Lössl,-,0.1,-,-,1,-,-,-
231,David de Gea,-,-,-,-,0.6,0.1,-,-
232,Alex Pritchard,1.2,0.6,0.4,-,0.2,0.8,0.1,-
233,Theo Walcott,0.7,0.6,0.3,-,0.2,0.4,-,-
234,Demarai Gray,0.7,0.3,0.4,-,0.4,0.3,-,-
235,Stuart Armstrong,1,0.4,0.7,-,0.4,1.2,-,-
236,Shane Long,0.6,0.3,1,-,0.7,0.5,-,-
237,DeAndre Yedlin,1.9,1,1.4,0.2,2.4,0.8,0.3,1
238,Jordan Ayew,1.9,0.4,1.6,-,0.3,0.7,-,-
239,Jordan Pickford,-,-,-,-,0.9,-,-,-
240,Juninho Bacuna,2.2,1.1,1.6,0.1,0.5,1.5,-,-
