,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_def,Blocks,OwnG,Drb_off,Fouled,Off,Disp,UnsTch,AvgP,PSp,Crosses,LonB,ThrB
37,Rodri,Man City,27," D(C),DMC",29(6),2488,3,2,8,-,0.7,92.9,1.6,1,7.09,1.4,0.7,1.2,0.1,0.9,1.1,0.1,-,0.9,0.9,-,0.8,0.8,73.7,92.9,0.1,4.9,0.1
38,Sébastien Haller,West Ham,29, FW,24(8),2263,7,1,1,-,1.8,65.8,6.8,3,7.08,0.7,0.3,1.4,-,0.8,0.8,0.2,-,0.8,1.2,0.6,1.1,1.1,24.0,65.8,-,0.4,-
39,Emiliano Buendía,Norwich,27," M(CLR),FW",28(8),2465,1,7,6,1,1.1,80.0,0.8,6,7.08,2.3,0.6,1,-,0.7,2.2,0.1,-,2.8,1.5,0.1,2.2,2.2,39.1,80.0,1.1,2.5,0.3
40,Nicolas Pépé,Arsenal,28," AM(CLR),FW",22(9),2016,5,6,4,-,1.6,81.4,0.7,4,7.06,1,0.3,0.5,-,0.1,0.3,0.1,-,2.3,1.2,0.1,1.7,1.7,22.8,81.4,0.9,0.5,0.1
41,Sèrge Aurier,Tottenham,31," D(CLR),M(R)",31(2),2706,1,5,2,1,0.4,79.1,2.1,2,7.06,2.8,1.4,1.2,0.2,2.5,0.9,0.2,1,1.2,0.7,0.2,0.8,0.8,38.8,79.1,0.6,1,-
42,Dwight McNeil,Burnley,24, M(CLR),38,3345,2,6,5,-,1.3,79.1,0.7,3,7.06,1.2,0.8,0.8,-,0.7,1.3,0.2,-,2,1,-,1.7,1.7,27.1,79.1,1.8,1.5,-
43,Diego Rico,Bournemouth,31," D(CL),M(L)",27,2336,-,4,6,-,0.4,67.3,1.2,2,7.06,2.3,3.1,0.7,0.2,2.2,1.1,0.3,-,0.5,0.8,0.1,0.8,0.8,40.2,67.3,1.6,2.1,0.1
44,Troy Deeney,Watford,35, FW,26(1),2234,10,2,3,-,1.7,54.2,7.3,2,7.05,0.7,0.4,1.4,-,1,0.9,-,-,0.4,1.3,0.4,1,1,26.3,54.2,-,0.3,-
45,Çaglar Söyüncü,Leicester,27, D(C),34,3037,1,1,4,1,0.5,89.6,3.2,-,7.04,1.8,1.3,0.9,0.6,4.4,0.6,0.6,-,0.5,0.6,-,0.1,0.1,68.2,89.6,-,3.3,-
46,Bernardo Silva,Man City,29," M(CLR),FW",23(11),2031,6,7,5,-,1.5,90.2,0.4,1,7.03,1.1,0.7,0.7,-,0.4,0.9,-,-,1.2,0.6,0.1,0.6,0.6,40.4,90.2,0.5,1.1,-
47,Pierre-Emerick Aubameyang,Arsenal,34," M(CLR),FW",35(1),3139,22,3,3,1,2.6,72.2,0.9,3,7.03,0.9,0.4,0.4,-,0.4,1.1,-,-,0.5,0.6,0.6,0.9,0.9,22.7,72.2,0.6,0.3,-
48,João Moutinho,Wolves,37, M(C),34(4),3108,1,6,7,-,0.6,85.5,0.6,1,7.01,2.4,1.3,1.1,-,0.5,2.4,0.3,-,0.4,0.7,0.1,0.6,0.6,48.4,85.5,1.8,4,0.1
49,Declan Rice,West Ham,25," D(C),DMC",38,3420,1,3,6,-,0.8,86.0,1.4,2,7.01,3.1,2,1.1,-,1.3,1.3,0.2,-,1.3,0.2,0.1,0.6,0.6,45.6,86.0,0.3,3.4,-
50,Nemanja Matic,Man Utd,35, DMC,18(3),1614,-,2,3,-,0.3,87.0,1.4,1,7.0,2.2,1,1.3,-,1.2,1.1,0.4,-,1,0.9,-,0.8,0.8,60.2,87.0,0.1,2.2,-
51,John McGinn,Aston Villa,29, M(CLR),27(1),2318,3,3,3,-,2,81.4,0.7,4,7.0,1.9,0.9,1.3,-,0.5,1.5,-,-,1.9,2.4,-,1.8,1.8,25.4,81.4,0.5,2.9,-
52,Matt Doherty,Wolves,32," D(LR),M(LR)",32(4),2841,4,3,1,-,1,74.9,3.7,3,6.99,1.5,1.1,0.8,0.1,1.3,0.4,0.1,-,0.8,0.5,0.1,0.4,0.4,41.0,74.9,0.2,1.3,-
53,Hugo Lloris,Tottenham,37, GK,21,1808,-,-,-,-,-,67.1,0.3,1,6.98,-,-,-,-,0.6,-,-,-,-,-,-,-,-,22.6,67.1,-,5.8,-
54,Wilfried Zaha,Crystal Palace,31," AM(LR),FW",37(1),3280,4,3,5,-,1.6,81.1,0.3,2,6.98,1.1,0.5,1.3,-,0.1,1,0.1,-,4.3,3.2,0.4,3.9,3.9,28.8,81.1,0.5,0.7,-
55,Chris Basham,Sheff Utd,35," D(CR),M(CR)",38,3255,-,1,4,-,0.2,74.7,2.9,4,6.98,2.2,2,0.7,0.3,4.4,0.9,0.4,-,0.6,0.8,0.1,0.2,0.2,34.6,74.7,0.2,1.8,-
56,Jonjo Shelvey,Newcastle,32, M(C),25(1),2124,6,2,3,-,1.7,76.9,0.7,1,6.97,1.1,0.9,0.7,-,1.3,1.2,0.2,-,0.6,0.2,-,0.4,0.4,40.2,76.9,0.8,5.5,0.1
