,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
235,Alejandro Pozo,1799,Almeria,24,D,30,1878,3,0.8,28.5,73.0,0.6,1.7,0.0,6.48,0,2,0,0.3,0.4,0,0.4,0.5,0.0,0.3,0.9,1.2,0.9,0.5,0.2,1.1,0.9,0.2,0
236,José Morales,839,Villarreal,35,D,29,1205,0,0.3,8.2,73.5,0.1,0.2,0.0,6.48,7,2,0,1.4,0.3,0,0.6,0.3,0.4,0.4,0.8,0.2,0.1,0.2,0.0,0.1,0.4,0.0,0
239,Stefan Mitrovic,819,Getafe,33,D,22,1678,0,0.0,23.2,79.0,0.0,1.9,0.0,6.48,0,4,0,0.0,1.7,0,0.0,0.1,0.0,0.0,0.1,0.6,0.8,0.6,0.7,4.0,0.2,0.5,0
244,Hugo Guillamón,55,Valencia,23,D,25,1634,4,1.0,39.5,84.4,0.7,3.1,0.0,6.46,1,5,0,0.2,0.8,0,0.0,1.4,0.0,0.6,0.4,0.8,0.8,1.4,0.0,1.1,0.6,0.1,1
245,Lucas Olaza,58,Real Valladolid,28,D,23,1497,1,0.7,24.8,80.4,0.5,1.4,0.0,6.46,0,3,0,0.2,1.2,0,0.2,0.9,0.1,0.3,0.6,1.0,0.6,0.5,0.1,1.3,0.4,0.3,0
246,Luis Hernández,1354,Cadiz,34,D,35,3150,0,0.3,36.6,79.5,0.1,3.4,0.0,6.46,0,6,1,0.2,1.1,0,0.1,0.2,0.1,0.1,0.1,0.9,0.9,0.8,0.3,4.0,0.4,0.7,0
248,Unai García,131,Osasuna,31,D,21,1718,1,0.1,37.7,80.0,0.1,3.4,0.0,6.46,0,6,1,0.2,1.8,0,0.2,0.2,0.0,0.2,0.2,1.1,0.9,1.0,0.6,2.7,0.2,0.7,0
249,Óscar Mingueza,62,Celta Vigo,24,D,21,1285,0,0.5,35.6,83.3,0.3,2.0,0.1,6.46,0,2,0,0.2,0.4,0,0.7,0.4,0.0,0.5,0.9,1.8,0.6,0.9,0.2,1.0,0.3,0.2,0
250,Jesús Navas,67,Sevilla,37,D,32,1980,0,0.8,31.7,81.2,0.7,2.1,0.0,6.46,0,5,0,0.3,0.5,0,0.3,1.0,0.2,0.3,0.5,0.6,0.7,0.2,0.1,1.3,0.3,0.2,1
251,Nacho Vidal,131,Osasuna,28,D,20,1250,0,0.2,22.8,75.9,0.2,1.1,0.1,6.45,0,4,0,0.5,1.5,0,0.7,0.9,0.0,0.7,0.9,1.4,1.0,1.4,0.3,1.4,0.8,0.2,0
