,Name,AvgP,PSp,Crosses,LonB,ThrB
323,Iñigo Pérez,25.5,73.8,0.3,1.7,-
324,Jairo Izquierdo,12.4,75.3,0.3,0.4,-
325,Loren Morón,6.7,63.2,-,0.3,-
326,Ángel Rodríguez,8.4,69.7,-,0.3,-
327,Jon Bautista,4.2,61.4,0.1,-,-
328,Miguel Baeza,8.9,82.1,0.2,0.5,-
329,Sergio León,4.8,71.1,-,-,-
330,Yan Eteki,14,77.8,-,0.4,-
331,Rubén Blanco,30.7,67.3,-,5.8,-
332,Borja Sainz,4.3,83.5,0.1,0.3,-
333,Filip Malbasic,5.3,58.8,0.1,0.2,-
