,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating
65,Xavier Chavalerin,Reims,33," DMC,M(L)",36,3240,2,2,8,-,0.6,80.5,0.3,1,6.94
66,Bertrand Traoré,Lyon,28," AM(R),FW",24(10),2125,7,2,5,-,1.9,82.5,0.7,3,6.93
67,Pedro Mendes,Montpellier,33, D(CR),31,2669,1,-,7,-,0.3,82.1,1.3,-,6.93
68,Ludovic Ajorque,Strasbourg,30, FW,18(7),1536,9,1,5,-,1.8,74.8,4.2,5,6.93
69,Jacques-Alaixys Romao,Reims,40," D(C),M(C)",36,3165,-,3,8,1,0.4,79.1,1.8,2,6.92
70,Rony Lopes,Monaco,28," AM(CLR),FW",22(2),1857,2,2,1,-,2.1,74.2,0.3,3,6.91
71,Wylan Cyprien,Nice,29, M(C),27(2),2364,4,2,1,1,1.8,87.5,0.4,-,6.91
72,Damien Le Tallec,Montpellier,34," D(C),DMC",31(5),2812,3,-,3,-,0.9,79.1,2.3,1,6.91
73,Yann M'Vila,Saint-Etienne,33," D(C),M(C)",37,3263,-,1,5,1,0.4,86.2,1.4,-,6.91
74,Jordan Amavi,Marseille,30," D(L),M(L)",24(4),2178,-,2,7,2,0.9,79.5,2.6,-,6.91
75,Fodé Ballo-Touré,Lille,27," D(L),M(L)",18,1595,-,1,3,-,0.2,77.8,1.7,1,6.90
76,Diego Carlos,Nantes,31, D(C),35,3149,1,-,8,-,0.9,82.5,2.5,1,6.90
77,Zeki Çelik,Lille,27," D(R),M(R)",34,2976,1,5,5,1,0.4,76.9,0.7,-,6.89
78,Vincent Manceau,Angers,34, D(CLR),31,2790,1,1,2,-,0.5,82.2,0.6,1,6.89
79,Fayçal Fajr,Caen,35, M(CLR),36,3240,5,4,6,-,1.4,81.4,0.5,5,6.88
80,M'Baye Niang,Rennes,29," AM(LR),FW",19(10),1794,11,4,5,-,2.2,72.6,1.8,1,6.88
81,Anthony Briançon,Nimes,29, D(C),33,2927,2,2,9,1,0.6,81.2,2.3,-,6.88
82,Issiaga Sylla,Toulouse,30," D(LR),M(L)",23(1),1995,2,-,5,-,0.7,77.9,2.4,1,6.88
83,Christopher Nkunku,PSG,26," M(CLR),FW",13(9),1155,3,2,-,-,1,91,0.5,2,6.88
84,Damien Da Silva,Rennes,35, D(C),32(1),2874,2,1,4,-,0.4,87.8,2.4,1,6.88
85,Pedro Rebocho,Guingamp,29, D(L),36,3240,-,8,4,-,0.5,79.7,1.3,1,6.87
86,Dante,Nice,40, D(C),36,3227,1,1,11,-,0.6,91.5,2.1,1,6.87
87,Pierrick Capelle,Angers,37," D(L),M(CLR)",21(5),1845,3,3,2,-,1.1,83.9,1.2,2,6.87
88,Jeff Reine-Adélaïde,Angers,26," AM(CLR),FW",29(6),2566,3,3,2,-,1.1,84.1,0.5,2,6.87
89,Ramy Bensebaïni,Rennes,29," D(CL),DMC,M(L)",24(1),2154,1,-,9,-,0.7,77.9,2.2,-,6.86
90,Benjamin Lecomte,Montpellier,33, GK,37,3330,-,-,1,-,-,63.9,0.6,3,6.86
91,Christopher Jullien,Toulouse,31, D(C),34,3016,1,-,8,-,0.7,83,4.3,2,6.86
92,Stéphane Ruffier,Saint-Etienne,37, GK,37,3330,-,-,1,-,-,57.6,0.5,1,6.86
93,Morgan Sanson,Marseille,29, M(CLR),27(6),2406,5,3,9,-,1.1,82.9,0.7,-,6.86
94,Pierre Lees-Melou,Nice,30, M(CLR),26(4),2393,2,1,5,1,1.3,85.7,0.6,1,6.85
95,Abdoulaye Touré,Nantes,30, DMC,30(4),2750,3,1,4,1,1.6,80.4,1.5,1,6.85
96,Radamel Falcao,Monaco,38, FW,29(4),2565,15,2,10,-,2.8,77.4,2.8,3,6.85
97,Sofiane Alakouch,Nimes,25, D(R),23(2),1901,1,-,4,-,0.5,74.3,0.8,1,6.85
98,Malang Sarr,Nice,25, D(CL),34(1),2995,1,1,1,-,0.3,89.8,1.6,-,6.85
99,Félix Eboa Eboa,Guingamp,27, D(CR),27,2427,3,-,5,-,0.4,77.4,3.8,3,6.85
100,Otávio,Bordeaux,30, DMC,33,2880,-,2,4,-,0.6,89.1,0.7,-,6.85
101,Juan Bernat,PSG,31," D(L),M(CL)",21(4),1838,1,2,6,1,0.2,90.8,0.6,-,6.84
102,Pablo,Bordeaux,32, D(C),25,1943,1,1,3,3,0.4,84.4,2.8,1,6.84
103,Édouard Mendy,Reims,32, GK,38,3420,-,-,3,-,-,58,0.6,5,6.84
104,Thomas Monconduit,Amiens,33, DMC,32(1),2821,-,1,6,-,0.5,77.9,1.5,1,6.84
105,Björn Engels,Reims,29, D(C),33,2970,1,1,4,-,0.3,83.8,3.1,-,6.83
106,Enock Kwateng,Nantes,27," D(CR),M(R)",22(8),2040,-,1,4,-,0.2,70.4,1.5,-,6.83
107,Clément Grenier,Rennes,33, M(CL),29(4),2668,2,5,6,-,1.5,82.2,0.6,-,6.83
108,Andrei Girotto,Nantes,32," D(C),DMC",18(2),1478,2,-,4,3,1,79.3,3,-,6.83
109,Ibrahima Sissoko,Strasbourg,26," D(C),DMC",30(2),2669,3,2,9,-,0.9,80.5,1.9,1,6.82
110,Hilton,Montpellier,46, D(C),36,3233,-,2,5,1,0.4,82.1,2.2,1,6.82
111,Jonathan Ikoné,Lille,26," AM(CLR),FW",34(4),2815,3,9,3,-,1.3,73.8,0.3,-,6.82
112,Júlio Tavares,Dijon,35," AM(LR),FW",31(5),2804,5,4,4,-,1.7,58.6,6.6,1,6.82
113,Dimitri Payet,Marseille,37," M(CLR),FW",23(8),1912,4,6,3,-,1.3,77.5,0.2,-,6.81
114,Brice Samba,Caen,30, GK,38,3420,-,-,1,-,-,58.4,0.3,3,6.81
115,Romain Thomas,Angers,35, D(C),27(1),2395,2,1,4,-,0.5,85.1,2.4,3,6.81
116,Kamil Glik,Monaco,36, D(C),33,2970,1,-,10,-,0.5,83.9,3.2,2,6.81
117,Jonathan Gradit,Caen,31, D(CR),23(1),2013,-,-,1,-,0.1,81.2,1.5,1,6.80
118,Alphonse Areola,PSG,31, GK,21,1890,-,-,1,-,-,83.2,0.1,-,6.80
119,Daniel Congré,Montpellier,39, D(CLR),37,3293,2,2,5,1,0.4,81.9,2.2,1,6.80
120,Ludovic Butelle,Angers,41, GK,36,3240,-,-,1,1,-,56.8,0.2,4,6.80
121,Nuno da Costa,Strasbourg,33," AM(CLR),FW",22(12),2055,8,5,3,-,1.4,69.1,1.6,1,6.80
122,Valère Germain,Marseille,34," AM(CLR),FW",23(13),2170,8,2,1,-,1.5,78,2.8,3,6.80
123,Boubacar Kamara,Marseille,24," D(CL),DMC",27(4),2411,1,-,6,-,0.4,86.4,2.1,2,6.80
124,Adrien Tameze,Nice,30," D(C),M(C)",34(3),2951,-,3,7,-,0.5,89.1,1,-,6.80
125,Mike Maignan,Lille,28, GK,38,3420,-,-,1,-,-,57.1,0.3,2,6.79
126,Baptiste Santamaría,Angers,29, DMC,37(1),3248,1,-,2,-,0.6,81,1,-,6.79
127,Mathieu Cafaro,Reims,27, AM(CLR),24(10),2103,7,3,5,-,2.1,68.8,0.4,2,6.79
128,Dénis Bouanga,Nimes,29," M(CLR),FW",29(6),2640,8,2,5,-,2.5,69.7,0.8,2,6.79
129,Mexer,Rennes,35, D(C),29,2472,-,-,3,-,0.2,89,2.1,-,6.78
130,Hamari Traoré,Rennes,32," D(R),M(R)",33(1),2973,-,2,7,-,0.9,82.5,1.1,-,6.77
131,Ambroise Oyongo,Montpellier,32," D(LR),M(L)",25(1),2141,2,-,5,-,0.5,70.7,0.5,-,6.77
132,Fouad Chafik,Dijon,37," D(LR),M(R)",21,1854,-,2,2,-,0.4,74.7,0.8,-,6.77
133,Jordan Lefort,Amiens,30, D(CL),21(2),1805,-,1,4,1,0.5,69.5,2.8,2,6.76
134,Kevin Strootman,Marseille,34, DMC,21(7),1941,1,5,7,-,0.6,82.3,1.5,-,6.76
135,Benjamin Henrichs,Monaco,27," D(LR),DMC,M(LR)",21(1),1827,1,2,3,-,0.5,74,0.7,-,6.75
136,Anthony Gonçalves,Strasbourg,38, M(CR),12(6),1061,5,2,3,-,0.8,75.5,0.8,2,6.75
137,Paul Bernardoni,Nimes,27, GK,38,3420,-,-,-,-,-,49.4,0.4,-,6.75
138,Jason Denayer,Lyon,28," D(CR),DMC",31,2748,2,-,2,-,0.5,93.8,1.8,-,6.75
139,Jules Koundé,Bordeaux,25, D(CR),37,3330,-,1,4,-,0.4,80.7,3.2,-,6.75
140,Benoît Costil,Bordeaux,36, GK,37,3330,-,-,-,-,-,66.8,0.2,3,6.74
141,Jordan Ferri,Nimes,32, M(C),21(3),1877,2,1,5,-,0.6,82.1,1,1,6.74
142,Lima,Nantes,32," D(L),M(L)",28(3),2495,-,4,6,-,0.7,73.3,1.3,1,6.74
143,Nicolas Benezet,Guingamp,33, AM(CLR),18(7),1667,3,1,1,-,1.1,74.9,0.8,3,6.74
144,Valentin Rosier,Dijon,27," D(LR),M(LR)",16(2),1458,-,3,2,-,0.8,83.8,1,1,6.74
145,Remi Oudin,Reims,27," M(CLR),FW",32(5),2627,10,4,4,-,2.1,60.5,0.8,2,6.74
146,Robert Beric,Saint-Etienne,32, FW,12(11),1172,9,1,-,-,1.6,68.9,1.3,1,6.74
147,Adama Soumaoro,Lille,31, D(CR),20,1730,-,1,5,1,0.3,94.3,2,-,6.73
148,Sada Thioub,Nimes,28," D(R),M(LR)",27(11),2482,3,5,3,-,0.9,78.4,0.5,1,6.73
149,Mehdi Abeid,Dijon,31, DMC,23(3),2027,3,-,6,-,1.4,86.5,0.7,1,6.73
150,Thomas Foket,Reims,29," D(CLR),M(R)",32,2880,-,-,7,-,0.1,76.6,0.9,-,6.73
151,Rafael Leão,Lille,24," AM(CL),FW",16(8),1295,8,3,3,-,1.5,72.6,1.2,1,6.73
152,Timothée Kolodziejczak,Saint-Etienne,32," D(CL),M(L)",35(1),3184,3,3,7,-,0.5,82,1.3,-,6.73
153,Maxime Poundjé,Bordeaux,31, D(L),28(2),2536,-,2,4,-,0.3,80.1,1.4,-,6.72
