,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_def,Blocks,OwnG,Drb_off,Fouled,Off,Disp,UnsTch,AvgP,PSp,Crosses,LonB,ThrB
66,Kerem Demirbay,Leverkusen,30, M(C),18(7),1578,1,5,2,1,1.2,82.9,0.8,1,6.91,1.4,0.9,1,-,0.3,0.8,0.2,-,1.1,0.7,-,0.8,0.8,42.9,82.9,1.6,2.6,0.1
67,Almamy Touré,Eintracht Frankfurt,28," D(CR),M(R)",18(1),1495,1,3,2,-,0.8,71.7,2.3,-,6.9,1.7,1.2,0.9,0.2,2.4,0.6,0.4,-,1.3,0.3,-,0.4,0.4,29.4,71.7,1,1.0,-
68,Jonathan Tah,Leverkusen,28, D(C),22(3),2090,-,1,4,1,0.2,90.0,2.9,1,6.9,1.4,1.1,1.2,0.8,3.8,0.4,0.5,-,0.6,0.4,-,0.2,0.2,82.4,90.0,-,3.8,-
69,Lukas Klostermann,RBL,27," D(CLR),M(R)",31,2647,3,1,1,-,0.4,85.5,1.3,-,6.89,1.5,0.8,0.4,0.7,2.9,0.4,0.5,-,0.5,0.5,-,0.4,0.4,54.8,85.5,0.2,1.5,-
70,Jonas Hofmann,Borussia M.Gladbach,31," D(R),M(CLR),FW",18(6),1632,5,3,3,-,1,82.3,0.2,1,6.89,1.8,0.8,0.5,-,0.5,2.3,0.1,-,0.5,0.9,0.5,0.7,0.7,32.8,82.3,1.2,2.4,-
71,Ihlas Bebou,Hoffenheim,30," M(CLR),FW",20(12),2098,6,1,1,-,1.1,70.1,1.8,1,6.89,0.8,0.3,0.8,0.1,0.8,0.5,0.1,-,1.6,0.9,0.2,1.8,1.8,18.2,70.1,0.3,0.3,0.1
72,Nico Elvedi,Borussia M.Gladbach,27, D(CLR),30(2),2624,1,-,5,-,0.3,92.0,2.6,-,6.88,1.4,1.9,0.7,0.5,3.3,0.6,0.5,-,0.3,0.6,-,0.1,0.1,54.3,92.0,-,1.7,-
73,André Silva,Eintracht Frankfurt,28, FW,16(9),1580,12,3,2,-,2.2,68.7,1.6,2,6.87,0.3,0.3,0.6,-,0.2,0.5,-,-,0.7,0.8,0.5,1.3,1.3,18.8,68.7,-,0.2,-
74,Yussuf Poulsen,RBL,29," AM(CR),FW",12(10),1219,5,6,2,-,1.5,68.2,1.6,-,6.87,0.6,0.2,1.3,-,0.7,0.8,-,-,0.7,1.3,-,1.1,1.1,14.6,68.2,0.1,0.1,-
75,Jonas Hector,FC Koln,33," D(L),M(CL)",28(1),2435,4,2,9,-,1,79.9,2.4,1,6.86,2.6,1.6,0.8,0.1,1.2,1.8,0.3,-,0.2,1.3,0.1,0.6,0.6,41.5,79.9,0.3,2.9,0.1
76,Manuel Gulde,Freiburg,33, D(C),15(2),1373,1,-,-,-,0.8,86.4,2.5,-,6.86,1.6,1.3,0.4,0.3,4.4,0.5,0.8,-,0.3,0.7,0.1,0.1,0.1,46.9,86.4,0.2,3.6,-
77,Robin Quaison,Mainz,30," M(CLR),FW",31(1),2613,13,2,2,-,2.2,70.8,0.8,2,6.86,0.8,0.3,0.8,-,0.2,0.7,0.2,-,1.4,1.1,0.5,1.6,1.6,16.9,70.8,0.1,0.3,0.1
78,Jérôme Boateng,Bayern,35, D(CR),23(1),1802,-,2,5,1,0.3,89.7,1.6,1,6.86,0.9,1.4,0.8,0.7,2.3,0.5,0.5,-,-,0.3,-,-,-,70.9,89.7,-,4.9,0.1
79,Lars Stindl,Borussia M.Gladbach,35," M(CLR),FW",14(11),1434,9,3,4,-,1.3,82.5,0.8,3,6.85,1.1,0.4,0.8,-,0.2,0.7,0.1,-,0.4,0.9,0.1,1.3,1.3,29.1,82.5,0.2,1.2,0.1
80,Ozan Kabak,Schalke,24, D(C),21(5),1776,3,1,4,-,0.4,81.5,2.9,3,6.85,1.4,1.4,0.8,0.3,3.6,0.3,0.7,-,0.8,0.5,-,0.2,0.2,39.8,81.5,-,3.3,-
81,Erik Thommy,Fortuna Duesseldorf,29, M(CLR),25(9),2266,6,4,3,-,1.8,77.7,0.4,1,6.85,1.2,0.5,0.5,-,0.5,0.7,0.1,1,1.3,1.7,0.2,1.3,1.3,21.1,77.7,1.1,0.8,-
82,Keven Schlotterbeck,Union Berlin,27, D(C),23,1942,-,-,6,1,0.5,79.0,2.7,1,6.85,2.3,1.7,0.9,0.5,4.7,0.5,0.9,-,0.4,1.4,-,0.1,0.1,36.5,79.0,-,3.1,-
83,Breel Embolo,Borussia M.Gladbach,27," AM(CR),FW",17(11),1551,8,5,4,-,1.6,76.7,0.8,3,6.85,0.8,0.3,1.5,-,0.1,0.4,-,-,1.5,1.7,0.5,1.7,1.7,13.4,76.7,-,0.2,0.1
84,Jonathan Schmid,Freiburg,33," D(R),M(CLR)",31(2),2839,5,1,1,-,1.3,75.0,1.1,2,6.85,1.3,1.1,0.4,0.1,2,0.5,0.2,-,0.4,1.1,0.1,0.7,0.7,33.9,75.0,0.8,1.9,-
85,Wendell,Leverkusen,30," D(CL),M(L)",21(3),1906,-,2,4,1,0.4,86.3,1.3,-,6.85,2.7,1.5,1.3,0.4,1.5,1,0.2,-,0.6,1,-,0.3,0.3,69.1,86.3,0.1,2.4,-
86,Matthias Ginter,Borussia M.Gladbach,30," D(CR),DMC",31,2781,1,1,2,-,0.6,85.1,3.1,-,6.84,1.1,1.1,0.4,0.5,4,0.5,0.7,-,0.2,0.6,0.1,-,-,70.5,85.1,-,4.8,0.1
87,Sebastian Rudy,Hoffenheim,34," D(R),M(CR)",31(1),2740,1,3,9,-,0.8,81.0,0.6,1,6.84,2.3,0.8,0.8,-,1.2,1.5,0.2,-,0.6,1.1,-,0.6,0.6,43.1,81.0,0.9,2.2,0.1
88,Nils Petersen,Freiburg,35, FW,24(10),2432,11,2,1,-,1.6,62.5,2.6,1,6.84,0.6,0.3,0.3,-,1.9,0.5,0.2,-,0.2,0.5,0.4,0.6,0.6,15.3,62.5,0.1,0.5,-
89,Mitchell Weiser,Leverkusen,30," D(R),M(R)",14(4),1173,1,-,3,-,0.4,78.9,1,-,6.84,2.3,1.3,1,0.2,1.1,0.7,0.1,-,1,1.4,-,0.7,0.7,47.6,78.9,0.3,1.3,-
90,Christian Gentner,Union Berlin,38, M(CLR),29(2),2453,3,2,4,-,1.1,72.1,1.1,1,6.83,1.7,1.7,1,-,1.4,1.6,0.3,-,0.5,1.3,0.1,0.4,0.4,32.7,72.1,0.3,1.2,0.1
91,Kenan Karaman,Fortuna Duesseldorf,30," AM(CLR),FW",16(4),1358,6,1,4,-,1.6,66.6,2.3,1,6.83,0.6,0.1,0.6,-,0.4,0.3,0.2,-,1.1,1.2,0.4,1.6,1.6,16.0,66.6,0.1,0.3,-
92,Lukasz Piszczek,Borussia Dortmund,38," D(CR),M(R)",25(4),2111,1,3,3,-,0.2,88.6,1.1,1,6.83,1.6,0.9,0.6,0.3,1.4,0.8,0.4,-,0.4,0.2,-,0.3,0.3,64.2,88.6,0.2,2.3,0.1
93,Dodi Lukébakio,Hertha Berlin,26," AM(CLR),FW",24(6),2047,7,6,2,-,1.3,79.7,0.7,-,6.83,0.8,0.3,0.9,-,0.4,0.6,0.1,-,1.5,0.9,0.3,1.5,1.5,18.4,79.7,0.5,0.7,-
94,Kevin Stöger,Fortuna Duesseldorf,30, M(CL),14(3),1268,-,4,3,-,1.3,83.8,0.2,2,6.83,1.2,1.5,1.7,0.1,0.3,1.1,0.1,-,1.2,1.4,-,1.1,1.1,53.1,83.8,0.6,4.2,0.1
95,Gonçalo Paciência,Eintracht Frankfurt,29, FW,15(8),1280,7,3,4,-,2.2,66.9,2.1,1,6.82,0.4,-,1.2,-,0.5,0.4,-,-,1.2,1,0.4,2.2,2.2,12.0,66.9,0.2,0.7,-
96,Marvin Plattenhardt,Hertha Berlin,32," D(L),M(L)",17,1399,-,5,1,-,0.2,77.0,1.1,-,6.82,1.1,0.6,0.6,0.4,2.2,0.3,0.4,-,0.2,0.9,0.1,0.8,0.8,30.1,77.0,1.5,2.5,-
97,Theodor Gebre Selassie,Werder Bremen,37," D(CLR),DMC,M(R)",28,2431,2,2,2,-,0.4,81.4,2.2,1,6.82,1.3,2.3,0.9,0.2,2.6,0.6,0.3,-,0.1,0.8,0.1,0.4,0.4,39.1,81.4,0.4,1.3,-
98,Kai Pröger,Paderborn,31," AM(CR),FW",22(9),2079,2,6,-,-,1.6,61.7,0.3,3,6.82,1.4,0.5,0.4,-,0.5,1.3,0.2,-,2.2,0.8,0.3,1,1,12.8,61.7,1.5,0.4,-
99,Lucas Höler,Freiburg,29," AM(CLR),FW",28(6),2497,8,2,4,-,1.5,66.8,2.1,1,6.82,1,0.4,1.1,-,1,1,0.3,-,0.9,2.3,0.3,1.5,1.5,18.2,66.8,0.2,0.4,-
100,Bastian Oczipka,Schalke,35," D(CL),M(L)",33(1),3015,-,5,4,-,0.3,79.4,0.8,2,6.81,2.1,1.1,0.8,0.3,1.8,0.8,0.2,-,1.1,1,0.1,0.3,0.3,40.4,79.4,1.3,2.1,-
101,Daniel Brosinski,Mainz,35," D(LR),M(LR)",16(10),1705,2,4,3,-,0.9,67.6,1,1,6.81,1.5,0.5,0.5,-,1.8,0.7,0.1,1,0.3,0.3,-,0.1,0.1,25.9,67.6,2.2,2.0,-
102,John Anthony Brooks,Wolfsburg,31, D(C),25,2226,-,1,4,-,0.5,81.7,3,-,6.81,1.5,1.6,1,0.3,3.7,1,0.5,-,0.1,0.4,0.1,0.1,0.1,49.2,81.7,-,3.8,-
103,Ridle Baku,Mainz,26," D(R),M(CR)",26(4),2353,1,3,5,1,0.7,74.9,1,2,6.8,1.8,1.4,1.1,0.1,1.6,0.9,0.2,-,1.1,1.4,0.1,0.7,0.7,30.8,74.9,0.7,1.7,0.1
104,Florian Kainz,FC Koln,31, M(CLR),16(12),1563,5,6,5,-,1.5,70.1,0.3,-,6.8,0.8,0.5,0.6,-,0.4,0.6,0.1,-,0.8,1.3,-,0.8,0.8,19.0,70.1,1.4,1.3,-
