,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating
58,Harvey Barnes,Leicester,26, AM(CL),22(3),1950,9,4,-,-,2.2,75.2,1,2,6.98
59,Jack Harrison,Leeds,27," AM(CLR),FW",34(2),2858,8,8,2,-,1.3,74,0.7,4,6.96
60,Matheus Pereira,WBA,27," AM(CLR),FW",30(3),2582,11,6,2,1,2,79.6,0.4,2,6.96
61,Vladimír Coufal,West Ham,31," D(R),M(R)",34,3055,-,7,3,-,0.4,71.2,1.6,1,6.95
62,Pierre-Emile Højbjerg,Tottenham,28, M(C),38,3420,2,4,9,-,0.4,88.5,1.2,1,6.95
63,Luke Ayling,Leeds,32," D(CR),M(R)",38,3400,-,-,7,-,0.6,79,1.7,-,6.94
64,Reece James,Chelsea,24," D(CR),DMC,M(R)",25(7),2367,1,2,3,-,1.1,88.4,1.3,1,6.94
65,Oriol Romeu,Southampton,32, DMC,20(1),1768,1,1,6,-,0.7,82.6,1.5,2,6.93
66,Matty Cash,Aston Villa,26," D(R),M(CLR)",28,2380,-,2,6,1,0.3,75.7,1.3,1,6.93
67,Scott McTominay,Man Utd,27," D(C),M(C)",24(8),2128,4,1,3,-,0.8,87,1.5,-,6.93
68,Ben Mee,Burnley,34, D(CL),30,2694,2,-,3,-,0.7,71.1,3.7,2,6.93
69,Fred,Man Utd,31, M(C),27(3),2397,1,-,5,-,0.8,87.7,0.3,-,6.92
70,César Azpilicueta,Chelsea,34," D(CLR),M(R)",24(2),2191,1,2,5,1,0.4,86.9,2.1,1,6.92
71,Ademola Lookman,Fulham,26," AM(CLR),FW",31(3),2756,4,4,5,-,2,80.9,0.2,2,6.92
72,Michael Keane,Everton,31, D(CR),33(2),2990,3,1,4,-,0.5,87.2,3.2,2,6.92
73,Rúben Dias,Man City,26, D(C),32,2845,1,-,4,-,0.4,93.2,1.9,-,6.91
74,Thiago Silva,Chelsea,39, D(C),23,1938,2,-,3,1,0.6,93,2,-,6.91
75,Illan Meslier,Leeds,24, GK,35,3150,-,-,-,-,-,77.1,0.6,3,6.91
76,Matt Targett,Aston Villa,28," D(L),M(L)",38,3405,-,2,7,-,0.2,78,1.9,-,6.90
