,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_def,Blocks,OwnG,Drb_off,Fouled,Off,Disp,UnsTch,AvgP,PSp,Crosses,LonB,ThrB,Pts
127,Arthur,Barcelona,27,DM,21,1185,3,3,1,0,0.4,91.5,0.1,0,6.84,0.7,0.2,0.5,0.0,0.2,0.4,0.0,0,1.5,2.1,0.0,0.9,0.9,48.4,91.5,0.1,1.9,0.1,0.9193548387096774
128,Manu García,Deportivo Alaves,38,DM,30,1967,0,0,9,1,0.6,72.1,2.7,0,6.36,1.5,0.9,2.0,0.0,1.0,1.8,0.4,0,0.2,1.3,0.1,0.7,0.7,23.5,72.1,0.0,1.0,0.0,0.22580645161290322
129,Dani García,Athletic Club,33,DM,36,3027,0,1,11,0,0.4,81.4,1.8,1,6.6,1.6,1.4,1.7,0.0,1.5,1.6,0.2,0,0.3,1.0,0.0,0.5,0.5,42.1,81.4,0.1,4.2,0.0,0.41935483870967744
130,Mikel Vesga,Athletic Club,31,DM,20,1264,0,1,3,0,0.7,81.0,1.8,0,6.48,1.3,1.6,1.4,0.1,1.2,1.8,0.4,0,0.3,0.6,0.0,0.6,0.6,26.4,81.0,0.1,1.2,0.0,0.41935483870967744
131,Fran Beltrán,Celta Vigo,25,DM,28,1835,1,0,2,1,0.5,88.8,0.3,1,6.37,1.1,0.5,0.4,0.0,0.5,0.9,0.0,0,0.7,0.4,0.0,0.8,0.8,30.4,88.8,0.1,1.3,0.0,0.1935483870967742
132,Nemanja Radoja,Levante,31,DM,26,1994,1,0,3,0,0.0,85.5,1.7,0,6.65,1.7,0.9,1.0,0.0,0.8,1.2,0.2,0,1.1,0.7,0.1,0.9,0.9,37.5,85.5,0.1,2.3,0.0,0.3870967741935484
133,Nikola Vukcevic,Levante,32,DM,30,1574,0,2,11,0,0.1,88.1,0.6,0,6.33,1.4,0.4,1.5,0.1,0.5,0.8,0.2,0,0.3,0.9,0.0,0.2,0.2,21.6,88.1,0.0,1.1,0.0,0.3870967741935484
134,Yan Eteki,Granada,26,DM,28,1506,0,0,4,0,0.3,77.3,1.0,0,6.39,1.3,0.9,1.8,0.0,0.6,0.6,0.1,0,0.6,1.1,0.0,0.5,0.5,14.6,77.3,0.0,0.7,0.0,0.5
135,Iddrisu Baba,Mallorca,28,DM,36,2914,0,0,6,0,0.4,80.9,1.8,0,6.59,1.6,1.1,1.2,0.1,1.1,1.4,0.2,1,1.5,1.6,0.0,1.1,1.1,35.3,80.9,0.0,1.7,0.0,0.12903225806451613
136,Gonzalo Escalante,Eibar,31,DM,23,1672,0,1,7,1,0.9,68.7,2.7,1,6.6,1.8,1.3,1.3,0.0,0.6,0.7,0.2,0,0.7,1.3,0.1,0.7,0.7,27.5,68.7,0.1,1.3,0.0,0.27419354838709675
