,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_def,Blocks,OwnG,Drb_off,Fouled,Off,Disp,UnsTch,AvgP,PSp,Crosses,LonB,ThrB,Pts
65,Leon Goretzka,Bayern Munich,29,M,24,1513,6,5,2,0,1.6,85.9,1.3,2,7.17,1.2,1.0,1.0,0.1,0.3,0.9,0.1,0,0.8,1.0,0.0,0.8,0.8,38.0,85.9,0.2,1.5,0.0,1.0
66,Kingsley Coman,Bayern Munich,27,M,24,1507,4,3,2,0,1.5,82.3,0.8,0,7.13,0.8,0.2,0.5,0.0,0.1,0.6,0.0,0,2.4,1.4,0.2,1.5,1.5,29.4,82.3,0.6,1.0,0.1,1.0
67,Ivan Perisic,Bayern Munich,35,M,22,1204,4,3,1,0,1.8,77.0,0.9,1,6.78,0.7,0.2,0.8,0.0,0.3,1.1,0.1,0,0.5,0.3,0.4,0.6,0.6,24.3,77.0,0.6,0.7,0.1,1.0
68,Marco Reus,Borussia Dortmund,34,M,19,1502,11,5,1,0,2.5,82.5,0.4,2,7.5,1.4,0.5,0.9,0.0,0.6,0.8,0.1,0,1.4,0.9,0.4,1.1,1.1,33.7,82.5,0.2,0.9,0.1,0.7903225806451613
69,Thorgan Hazard,Borussia Dortmund,31,M,33,2393,7,13,3,0,1.5,81.0,0.5,2,7.21,1.2,0.4,1.1,0.0,0.0,1.2,0.0,0,1.5,1.2,0.4,1.7,1.7,33.1,81.0,1.0,1.0,0.0,0.7903225806451613
70,Julian Brandt,Borussia Dortmund,28,M,33,2210,3,7,0,0,1.0,83.8,0.6,0,7.04,1.5,0.5,0.4,0.0,0.3,0.9,0.1,0,2.0,0.6,0.1,1.5,1.5,49.1,83.8,0.2,3.0,0.2,0.7903225806451613
71,Christopher Nkunku,RB Leipzig,26,M,32,1927,5,13,2,0,1.6,85.9,0.8,5,7.33,0.7,0.6,0.8,0.0,0.2,0.8,0.1,0,1.7,1.3,0.2,1.0,1.0,21.7,85.9,1.4,0.6,0.1,0.7419354838709677
72,Marcel Sabitzer,RB Leipzig,30,M,32,2507,9,7,4,0,2.2,77.5,0.8,1,7.24,1.2,0.7,0.6,0.0,0.8,1.2,0.1,0,0.5,1.3,0.1,0.9,0.9,42.0,77.5,0.9,2.4,0.0,0.7419354838709677
73,Amadou Haidara,RB Leipzig,26,M,19,745,0,1,1,0,1.0,85.2,0.8,1,6.55,1.4,0.4,0.9,0.1,0.4,0.7,0.1,0,1.0,0.2,0.1,0.4,0.4,28.8,85.2,0.2,0.8,0.1,0.7419354838709677
74,Filip Kostic,Eintracht Frankfurt,31,M,33,2959,4,11,4,0,2.7,67.0,0.6,5,7.41,1.8,0.7,1.1,0.0,0.2,1.1,0.1,0,2.5,1.1,0.1,1.8,1.8,32.1,67.0,3.0,1.5,0.0,0.4032258064516129
75,Djibril Sow,Eintracht Frankfurt,27,M,29,1740,1,3,2,0,0.8,83.3,0.7,0,6.62,1.9,1.0,1.3,0.0,0.3,1.1,0.1,0,0.2,1.4,0.0,0.4,0.4,28.8,83.3,0.4,1.9,0.0,0.4032258064516129
76,Mijat Gacinovic,Eintracht Frankfurt,29,M,23,1049,0,1,2,0,1.1,70.3,0.3,0,6.4,0.8,0.7,0.8,0.0,0.3,0.8,0.1,0,0.6,1.0,0.0,0.6,0.6,14.7,70.3,0.3,0.7,0.0,0.4032258064516129
77,Maximilian Arnold,Wolfsburg,29,M,33,2826,4,8,8,0,1.9,81.1,0.8,3,7.01,1.3,0.8,1.6,0.1,1.0,1.4,0.2,0,0.6,2.1,0.0,0.9,0.9,40.8,81.1,1.4,4.2,0.1,0.46774193548387094
78,Renato Steffen,Wolfsburg,32,M,27,1590,6,3,6,0,1.1,76.3,0.7,1,6.79,0.9,0.9,1.2,0.1,0.3,0.9,0.1,0,1.1,1.1,0.1,0.9,0.9,22.8,76.3,0.1,1.2,0.0,0.46774193548387094
79,Xaver Schlager,Wolfsburg,26,M,23,1724,1,2,4,0,1.4,76.5,1.1,0,6.73,2.0,0.7,1.4,0.0,0.4,1.3,0.1,0,0.9,1.0,0.0,2.0,2.0,28.3,76.5,0.1,1.2,0.0,0.46774193548387094
80,Admir Mehmedi,Wolfsburg,33,M,21,1205,2,2,0,0,1.1,74.9,1.0,0,6.54,0.7,0.2,1.2,0.0,0.1,0.5,0.0,0,0.3,1.2,0.4,0.9,0.9,24.6,74.9,0.6,0.9,0.0,0.46774193548387094
81,Victor Sá,Wolfsburg,30,M,32,1631,2,2,4,0,0.9,76.0,0.6,0,6.46,1.1,0.3,0.8,0.0,0.2,0.9,0.0,0,1.0,0.8,0.3,0.9,0.9,12.6,76.0,0.2,0.1,0.0,0.46774193548387094
82,Suat Serdar,Schalke 04,27,M,20,1605,7,0,2,0,1.8,75.4,1.1,4,7.31,2.8,1.2,1.5,0.1,0.4,2.2,0.4,0,2.7,1.7,0.1,2.2,2.2,23.8,75.4,0.0,0.9,0.2,0.3064516129032258
83,Alessandro Schöpf,Schalke 04,30,M,22,1427,0,1,3,0,0.7,82.8,0.4,0,6.37,1.3,1.2,0.9,0.0,0.3,1.0,0.0,0,1.0,0.8,0.0,1.8,1.8,29.3,82.8,0.1,0.8,0.0,0.3064516129032258
84,Florian Neuhaus,Borussia M.Gladbach,27,M,30,2362,4,2,6,0,1.9,83.8,0.5,0,6.98,1.4,0.9,0.7,0.0,0.2,1.4,0.1,0,1.6,1.7,0.1,0.8,0.8,40.8,83.8,0.1,1.9,0.1,0.7258064516129032
85,Lars Stindl,Borussia M.Gladbach,35,M,25,1434,9,3,4,0,1.3,82.5,0.8,3,6.85,1.1,0.4,0.8,0.0,0.2,0.7,0.1,0,0.4,0.9,0.1,1.3,1.3,29.1,82.5,0.2,1.2,0.1,0.7258064516129032
86,Patrick Herrmann,Borussia M.Gladbach,33,M,27,1453,6,6,4,0,1.5,76.5,0.4,2,6.77,0.9,0.4,1.2,0.0,0.3,0.4,0.1,0,0.4,0.8,0.5,0.7,0.7,16.5,76.5,0.4,0.5,0.0,0.7258064516129032
87,Christoph Kramer,Borussia M.Gladbach,33,M,22,1465,0,0,4,0,0.5,85.4,1.3,0,6.68,2.0,0.6,1.4,0.0,0.9,1.4,0.1,0,0.6,1.0,0.0,0.5,0.5,41.8,85.4,0.0,2.2,0.0,0.7258064516129032
88,László Bénes,Borussia M.Gladbach,26,M,22,891,0,4,3,0,1.0,81.1,0.6,1,6.66,0.7,0.4,0.6,0.0,0.1,0.6,0.1,0,0.6,1.1,0.0,0.4,0.4,20.5,81.1,0.8,1.3,0.2,0.7258064516129032
89,Kai Havertz,Bayer Leverkusen,24,M,30,2462,12,6,3,0,2.0,85.4,1.4,3,7.24,0.7,0.1,0.9,0.0,0.6,1.1,0.0,0,1.9,1.1,0.4,2.5,2.5,45.1,85.4,0.2,1.3,0.1,0.6935483870967742
90,Moussa Diaby,Bayer Leverkusen,24,M,28,1771,5,5,3,0,1.5,79.2,0.1,3,6.93,0.4,0.3,0.5,0.0,0.1,0.4,0.0,0,2.4,0.7,0.3,1.3,1.3,21.1,79.2,0.7,0.5,0.0,0.6935483870967742
91,Karim Bellarabi,Bayer Leverkusen,34,M,26,1429,4,6,2,0,2.1,76.4,0.1,1,6.92,0.7,0.4,0.8,0.0,0.2,0.7,0.0,0,2.0,0.5,0.2,1.3,1.3,20.8,76.4,0.6,0.7,0.0,0.6935483870967742
92,Kerem Demirbay,Bayer Leverkusen,30,M,25,1578,1,5,2,1,1.2,82.9,0.8,1,6.91,1.4,0.9,1.0,0.0,0.3,0.8,0.2,0,1.1,0.7,0.0,0.8,0.8,42.9,82.9,1.6,2.6,0.1,0.6935483870967742
93,Nadiem Amiri,Bayer Leverkusen,27,M,30,1862,1,2,3,0,1.4,84.4,0.3,1,6.8,0.9,0.5,0.9,0.0,0.2,0.6,0.1,0,1.0,1.3,0.1,0.6,0.6,32.9,84.4,0.9,1.5,0.1,0.6935483870967742
94,Charles Aránguiz,Bayer Leverkusen,35,M,27,2126,1,3,2,0,0.6,86.0,0.5,0,6.75,2.1,0.8,0.6,0.0,0.7,1.7,0.2,0,0.5,1.6,0.0,0.7,0.7,59.4,86.0,0.1,2.9,0.0,0.6935483870967742
