,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb_def,Blocks,OwnG,Drb_off,Fouled,Off,Disp,UnsTch,AvgP,PSp,Crosses,LonB,ThrB,Pts
259,Abdón Prats,Mallorca,31,FW,26,398,1,1,1,0,0.2,63.7,0.5,0,6.14,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0,0.1,0.2,0.1,0.5,0.5,3.5,63.7,0.0,0.2,0.0,0.3968253968253968
260,Enes Ünal,Getafe,26,FW,35,2986,14,3,6,0,2.5,60.9,4.6,5,7.07,0.7,0.2,1.7,0.1,1.0,0.5,0.1,0,0.6,2.2,0.8,1.4,1.4,20.7,60.9,0.1,0.2,0.1,0.2698412698412698
261,Nicolas Jackson,Villarreal,22,FW,26,1603,12,4,4,1,1.6,76.4,0.5,4,6.87,0.5,0.1,1.2,0.0,0.1,0.2,0.1,0,0.9,1.0,0.5,1.5,1.5,12.2,76.4,0.1,0.3,0.0,0.6190476190476191
262,Sergio Camello,Rayo Vallecano,23,FW,38,2412,6,5,2,0,2.0,78.6,0.7,1,6.54,0.4,0.1,0.3,0.0,0.7,0.3,0.0,0,0.5,0.5,0.3,0.9,0.9,13.5,78.6,0.0,0.3,0.0,0.38095238095238093
263,Raúl de Tomás,Rayo Vallecano,29,FW,19,804,4,0,2,0,2.3,76.7,0.6,0,6.44,0.2,0.0,1.1,0.0,0.3,0.2,0.0,0,0.9,1.2,1.1,1.0,1.0,7.7,76.7,0.1,0.5,0.1,0.38095238095238093
264,Radamel Falcao,Rayo Vallecano,38,FW,27,598,2,0,4,0,0.8,74.1,0.9,0,6.1,0.1,0.1,0.6,0.0,0.4,0.3,0.0,0,0.1,0.5,0.4,0.3,0.3,6.1,74.1,0.0,0.1,0.0,0.38095238095238093
265,Álvaro Negredo,Cadiz,38,FW,21,756,1,2,0,0,1.0,61.4,1.5,1,6.35,0.2,0.0,0.2,0.0,0.4,0.0,0.0,0,0.2,0.4,0.3,0.3,0.3,8.1,61.4,0.0,0.5,0.1,0.2698412698412698
266,Borja Iglesias,Real Betis,31,FW,35,2385,15,3,2,1,1.8,76.0,0.7,2,6.63,0.2,0.0,1.1,0.0,0.5,0.3,0.0,0,0.3,1.5,0.6,1.1,1.1,14.8,76.0,0.0,0.4,0.1,0.5555555555555556
267,Willian José,Real Betis,32,FW,28,715,2,1,1,0,0.8,78.6,0.6,0,6.21,0.3,0.0,0.3,0.0,0.5,0.2,0.0,0,0.1,0.2,0.1,0.4,0.4,9.4,78.6,0.0,0.2,0.0,0.5555555555555556
268,Jørgen Strand Larsen,Celta Vigo,24,FW,32,1713,4,4,4,0,1.3,69.4,1.3,1,6.48,0.5,0.1,1.1,0.0,0.8,0.7,0.2,0,0.4,1.3,0.4,0.8,0.8,10.4,69.4,0.0,0.3,0.0,0.2857142857142857
