,player_name,team_number,Team,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
211,Akim Zedadka,308,Auxerre,28,D,19(1),1603,0,0.7,26.6,78.9,0.6,1.0,0.1,6.51,0,5,0,0.5,1.2,0,0.5,1.4,0.0,0.9,1.4,1.8,1.2,1.2,0.4,2.0,0.7,0.2,0
212,Rayan Raveloson,308,Auxerre,26,D,27(7),2427,1,0.4,28.8,83.4,0.2,2.1,0.0,6.51,2,0,0,0.9,0.9,1,0.2,1.0,0.0,0.5,1.2,1.1,1.1,0.6,0.3,1.9,0.3,0.4,1
225,Massadio Haïdara,309,Lens,30,D,17(19),1657,1,0.2,24.6,87.1,0.1,1.0,0.0,6.47,0,5,0,0.4,1.1,0,0.2,0.7,0.1,0.1,0.7,0.7,1.0,0.5,0.0,0.9,0.3,0.3,0
227,Abdu Conté,229,Troyes,25,D,15(4),1317,2,0.7,30.9,79.8,0.5,1.4,0.1,6.46,1,1,0,0.2,0.8,0,0.1,0.6,0.2,0.3,0.5,1.3,0.3,0.6,0.5,1.1,0.5,0.3,0
236,Yasser Larouci,229,Troyes,22,D,21(9),1800,1,0.6,20.8,77.0,0.3,0.4,0.1,6.45,1,1,0,0.3,0.7,0,1.3,1.0,0.1,1.2,1.4,0.8,0.9,0.5,0.1,1.3,0.3,0.0,1
237,Colin Dagba,148,Strasbourg,24,D,12(9),960,0,0.6,17.4,85.0,0.4,0.4,0.0,6.44,0,3,0,0.2,0.1,0,0.5,0.3,0.0,0.5,0.4,1.5,0.8,0.7,0.2,0.8,0.3,0.1,0
238,Gerzino Nyamsi,148,Strasbourg,26,D,19(1),1580,1,0.2,42.0,84.5,0.0,2.9,0.0,6.44,1,4,1,0.7,1.9,1,0.5,0.2,0.0,0.1,0.6,1.4,0.5,1.9,0.8,2.9,0.1,0.6,0
241,Yoann Salmier,229,Troyes,30,D,31(1),2652,0,0.2,44.9,83.0,0.0,2.5,0.0,6.43,1,5,1,0.4,1.7,0,0.2,0.9,0.0,0.2,0.3,1.6,1.2,0.9,0.4,3.8,0.4,0.6,0
244,Miha Blazic,614,Angers,30,D,22(2),1980,0,0.0,49.0,87.6,0.0,3.7,0.0,6.42,2,4,0,0.3,1.9,0,0.0,0.7,0.0,0.0,0.1,0.3,0.9,0.5,0.5,3.2,0.3,0.8,1
246,Adil Rami,229,Troyes,37,D,18(2),1600,1,0.2,35.9,85.1,0.1,3.7,0.0,6.41,0,2,0,0.5,1.5,0,0.2,0.7,0.1,0.0,0.4,1.0,1.3,0.5,0.2,3.7,0.8,0.8,0
247,Ibrahima Sissoko,148,Strasbourg,25,D,13(13),1306,2,0.4,23.9,77.5,0.2,1.2,0.1,6.41,0,1,0,0.5,1.2,0,0.3,0.6,0.1,0.7,0.8,1.5,0.4,1.6,0.0,0.7,0.8,0.2,0
249,Julian Jeanvier,308,Auxerre,31,D,20(2),1763,0,0.0,35.5,83.1,0.0,2.5,0.0,6.4,1,3,1,0.4,1.1,0,0.1,0.5,0.0,0.1,0.4,1.5,1.2,1.1,0.3,4.3,0.4,0.8,0
251,Pablo Rosario,613,Nice,26,D,17(14),1760,1,0.6,33.2,89.4,0.1,1.6,0.0,6.4,0,6,0,0.3,0.5,0,0.2,0.4,0.0,0.4,0.7,1.5,0.7,0.6,0.2,1.0,0.5,0.2,0
253,Souleyman Doumbia,614,Angers,26,D,21(3),1793,0,0.5,31.3,80.5,0.5,0.9,0.0,6.39,0,2,1,0.3,0.8,0,1.1,0.8,0.1,0.4,1.2,1.9,1.1,1.1,0.4,0.8,0.6,0.1,0
257,Oumar Gonzalez,610,AC Ajaccio,25,D,29(1),2579,0,0.0,36.5,81.8,0.0,1.6,0.0,6.39,0,10,0,0.4,2.1,0,0.2,1.5,0.1,0.3,0.7,1.7,1.7,1.5,0.5,2.6,0.5,0.4,0
259,Thierno Baldé,229,Troyes,21,D,25(6),2161,1,0.6,23.8,83.1,0.2,0.5,0.0,6.38,0,1,0,0.2,0.3,0,1.2,1.1,0.1,0.5,1.2,0.9,0.7,0.3,0.2,1.2,0.4,0.1,0
262,Birger Meling,313,Rennes,28,D,10(17),1200,1,0.3,23.8,86.2,0.1,1.0,0.0,6.37,0,3,1,0.0,0.5,0,0.2,0.6,0.1,0.3,0.4,0.9,0.9,0.7,0.2,0.8,0.5,0.1,0
