,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating
129,Tyrick Mitchell,Crystal Palace,24," D(L),M(L)",35(1),3103,-,2,1,-,0.1,71.9,0.8,1,6.75
130,Alexis Mac Allister,Brighton,25," M(CL),FW",22(11),2118,5,2,4,-,1.8,84.4,0.8,1,6.75
131,Aaron Cresswell,West Ham,34," D(CL),M(L)",31,2728,2,3,3,-,0.6,82.6,1,-,6.75
132,Emiliano Buendía,Aston Villa,27," M(CLR),FW",22(13),1902,4,6,1,-,1.3,81.6,0.5,4,6.75
133,Gabriel Magalhães,Arsenal,26, D(C),35,3068,5,-,6,1,0.8,89.5,1.6,1,6.74
134,Kurt Zouma,West Ham,29, D(CR),24,2080,1,-,1,-,0.3,87.7,2.1,-,6.74
135,Luke Thomas,Leicester,22," D(L),M(L)",21(1),1912,-,1,2,-,0.2,80.3,1.1,-,6.74
136,Emile Smith Rowe,Arsenal,23, AM(CL),21(12),1922,10,2,1,-,1.2,87.4,0.2,1,6.74
137,Bryan Mbeumo,Brentford,24," AM(LR),FW",34(1),2916,4,7,4,-,2.2,69,0.8,1,6.74
138,Çaglar Söyüncü,Leicester,27, D(C),28,2498,1,-,5,-,0.3,84.6,3.3,1,6.74
139,Kasper Schmeichel,Leicester,37, GK,37,3330,-,-,2,-,-,69.7,0.3,2,6.74
140,Tyrone Mings,Aston Villa,31, D(CL),35(1),3188,1,3,11,-,0.6,79.6,2.3,2,6.74
141,Alexandre Lacazette,Arsenal,32," M(CLR),FW",20(10),1789,4,7,-,-,1.5,76.4,0.7,2,6.74
142,Tino Livramento,Southampton,21, D(LR),25(3),2203,1,1,2,-,0.4,78.6,0.9,1,6.73
143,Lewis Dunk,Brighton,32, D(C),29,2574,1,-,2,1,0.7,88.4,2.8,1,6.73
144,Kyle Walker,Man City,33," D(CR),M(R)",20,1756,-,2,1,-,0.4,90.3,1,-,6.73
145,Kristoffer Ajer,Brentford,26," D(CR),DMC",23(1),1987,1,3,5,-,0.3,69.7,2,-,6.73
146,Vitaly Janelt,Brentford,25," D(L),DMC",27(4),2309,4,-,3,-,1,77.9,1.1,2,6.73
147,Cheikhou Kouyaté,Crystal Palace,34," D(CR),DMC",23(4),1978,-,1,3,-,0.3,82,1.9,-,6.73
148,Grant Hanley,Norwich,32, D(C),33,2899,1,-,2,-,0.6,83.1,3.1,3,6.73
149,Abdoulaye Doucouré,Everton,31, M(C),29(1),2538,2,4,6,-,1.1,79.6,1.2,1,6.72
150,Jeffrey Schlupp,Crystal Palace,31," D(L),M(CLR)",20(12),1846,4,1,1,-,1,76.3,1,1,6.72
151,Ché Adams,Southampton,27," AM(CL),FW",23(7),2043,7,3,-,-,1.6,65.7,2.1,1,6.72
152,Michael Keane,Everton,31, D(CR),31(1),2793,3,2,2,1,0.6,76.5,3,1,6.72
153,Joel Ward,Crystal Palace,34," D(CLR),DMC,M(R)",27(1),2486,-,-,8,-,0.4,79.2,2.1,-,6.72
154,Adam Webster,Brighton,29, D(C),16(6),1432,2,-,5,-,0.4,81,2.5,2,6.72
155,Timothy Castagne,Leicester,28," D(CLR),M(LR)",22(5),2126,1,-,1,-,0.3,82,1.4,-,6.71
156,Andros Townsend,Everton,32," AM(CLR),FW",17(4),1459,3,2,3,-,1,78.1,0.3,2,6.71
157,Ederson,Man City,30, GK,37,3330,-,-,3,-,-,88.8,0.3,-,6.70
158,Craig Dawson,West Ham,33, D(CR),30(4),2754,2,2,4,1,0.7,80.9,2.8,-,6.70
159,Fraser Forster,Southampton,36, GK,19,1710,-,-,1,-,-,54.7,0.4,1,6.70
160,Fernandinho,Man City,38," D(CR),M(C)",10(9),960,2,1,1,-,0.9,88.8,1.2,-,6.70
161,Fabian Schär,Newcastle,32, D(C),25,2161,2,2,4,-,0.8,69.6,1.8,1,6.70
162,Anthony Gordon,Everton,23," AM(CLR),FW",25(10),2285,4,2,4,-,1.3,74.2,0.5,2,6.70
163,Joshua King,Watford,32," AM(CLR),FW",27(5),2251,5,3,5,-,1.6,72.9,3.1,2,6.69
164,Danny Welbeck,Brighton,33," AM(CLR),FW",15(10),1477,6,2,-,-,1.7,77.7,1.9,-,6.69
165,João Moutinho,Wolves,37, M(C),34(1),2975,2,1,4,-,0.6,86.7,0.4,2,6.69
166,Maxwel Cornet,Burnley,27," D(L),M(LR),FW",21(5),1778,9,1,2,-,1.8,70.6,0.9,1,6.69
167,Moussa Sissoko,Watford,34, M(CR),36,3221,2,1,5,-,0.7,78.3,1.8,-,6.68
168,Vicente Guaita,Crystal Palace,37, GK,30,2656,-,-,2,-,-,74.9,0.3,1,6.68
169,Kiernan Dewsbury-Hall,Leicester,25, M(C),23(5),2106,1,2,4,-,0.8,81.2,0.6,1,6.68
170,Christian Pulisic,Chelsea,25," M(CLR),FW",13(9),1286,6,2,2,-,1.3,80.3,0.5,1,6.67
171,Jordan Ayew,Crystal Palace,32," AM(CLR),FW",23(8),2024,3,3,2,-,1.1,83.6,1,-,6.67
