,Name,Goals,Assists,SpG,Drb,Fouled,Off,Disp,UnsTch
121,Lucas Boyé,7,2,1.7,1.9,1,0.3,2.3,2.3
122,Nacho Monreal,1,1,0.5,0.3,0.6,0.1,0.3,0.3
123,Manu Trigueros,1,7,0.9,0.8,1.1,0.1,1,1
124,Rubén Peña,1,1,0.3,1.6,0.9,-,0.9,0.9
125,Guido Carrillo,3,2,1.2,0.4,0.7,0.1,0.5,0.5
126,Iñaki Williams,6,6,1.4,0.9,0.9,0.3,1.4,1.4
127,Gonzalo Melero,7,1,0.9,0.5,1.1,-,0.4,0.4
128,Anaitz Arbilla,-,1,0.8,0.7,0.4,-,0.3,0.3
129,Edgar Badia,-,-,-,-,0.1,-,-,-
130,Kenedy,4,3,1.3,1.3,0.8,-,1.4,1.4
131,Joaquín,2,5,0.4,0.7,0.4,0.1,0.6,0.6
132,Alfonso Pedraza,1,2,0.8,0.8,0.8,-,0.8,0.8
133,Álvaro Fernández,-,-,-,-,0.1,-,-,-
134,Ander Capa,2,1,0.4,1,0.3,-,0.5,0.5
135,Rodrygo,1,6,1.1,0.8,1,-,0.7,0.7
136,Marc Bartra,-,1,0.5,0.4,0.8,0.1,0.1,0.1
137,Jonathan Calleri,5,2,1.9,0.7,1.6,0.7,1.2,1.2
138,Carlos Clerc,-,3,0.2,1,1,0.1,0.5,0.5
139,Rubén Rochina,-,1,1.4,1.2,1.2,-,1.4,1.4
140,Lucas Pérez,4,4,1.1,1,1,0.5,0.8,0.8
141,Sergiño Dest,2,1,0.5,1,0.4,0.1,0.9,0.9
142,Juan Miranda,1,2,0.5,0.2,1,-,0.4,0.4
143,Gonzalo Verdú,-,2,0.3,0.3,1.2,0.1,0.1,0.1
144,Marc-André ter Stegen,-,-,-,-,-,-,-,-
145,Víctor Ruiz,2,-,0.1,0.2,0.2,0.1,0.1,0.1
146,Vinícius Júnior,3,3,1.1,1.3,1.5,0.2,1.2,1.2
147,Roque Mesa,1,-,1,1.4,1.4,0.2,1.6,1.6
148,Martín Zubimendi,-,-,0.2,0.4,0.5,-,0.3,0.3
149,Óscar Plano,5,5,1.1,0.4,1.7,0.1,0.6,0.6
150,Lee Kang-In,-,4,1,1.6,1.8,0.1,1.1,1.1
151,Nemanja Maksimovic,1,-,0.5,0.4,0.3,-,0.5,0.5
152,Moi Gómez,4,-,0.7,1,0.9,0.3,0.9,0.9
153,Álex Fernández,4,1,0.4,0.6,1.2,-,0.6,0.6
154,Nacho Vidal,-,-,0.3,0.4,1,-,0.4,0.4
155,Joaquín Fernández,1,-,0.3,-,0.5,0.1,0.2,0.2
156,Tete Morente,2,5,0.6,1.5,1.1,0.2,1.1,1.1
157,Cucho Hernández,2,3,1.2,1.3,1.4,0.4,1.9,1.9
158,Saidy Janko,-,1,0.2,1.1,0.1,0.2,0.6,0.6
159,Jeison Murillo,2,-,0.3,0.1,1,-,0.3,0.3
160,Ivan Rakitic,4,2,1.1,0.3,0.6,0.1,0.4,0.4
161,Roger Martí,12,4,1.4,0.4,0.8,0.4,0.8,0.8
162,Raúl García,5,1,1.4,0.2,1.5,0.4,0.4,0.4
163,Iñigo Martínez,1,-,0.6,0.3,1.3,0.1,0.2,0.2
164,Clément Lenglet,1,-,0.3,0.2,0.9,0.2,0.2,0.2
165,Borja Iglesias,11,-,1.4,0.4,0.8,0.2,0.6,0.6
166,Ximo Navarro,1,1,0.4,0.5,1.1,-,0.6,0.6
167,Hugo Guillamón,1,-,0.3,-,1.1,-,0.2,0.2
168,Aarón Martín,-,3,0.3,0.9,0.8,0.2,0.4,0.4
169,Sergi Enrich,3,-,1.7,0.3,0.7,0.3,0.7,0.7
170,Jorge Pulido,1,-,0.5,0.2,0.8,0.1,0.3,0.3
171,Kike Barja,2,3,0.7,1.6,0.7,0.1,1.2,1.2
172,Raúl Albiol,-,-,0.2,0.1,0.5,-,0.2,0.2
173,Pablo Hervías,-,5,0.5,0.8,0.6,-,0.6,0.6
174,Igor Zubeldia,1,1,0.4,0.3,0.5,0.1,0.3,0.3
175,Josema,-,1,0.2,0.3,0.6,-,0.2,0.2
176,Sergio Asenjo,-,-,-,-,0.1,-,-,-
177,Jorge Miramón,-,3,0.4,0.6,0.4,-,0.2,0.2
178,Óscar Duarte,1,-,0.2,0.1,0.2,0.1,0.1,0.1
179,Samuel Chukwueze,4,2,1.1,1.4,1.1,0.6,0.8,0.8
180,Enis Bardhi,1,2,1.4,1.3,0.9,0.2,1.4,1.4
181,Josan,4,2,0.5,1.2,0.9,-,0.7,0.7
182,Mickaël Malsa,1,-,0.7,0.6,1,-,0.7,0.7
183,Juan Cala,3,-,0.5,0.1,1.1,-,0.1,0.1
184,Rúben Vezo,1,-,0.2,0.3,0.6,-,0.1,0.1
185,Jorge Molina,8,2,0.7,0.2,0.8,0.3,0.7,0.7
186,Óliver Torres,-,3,0.3,1,0.5,-,0.8,0.8
187,Carles Aleñá,2,2,1.4,1,1.2,-,0.8,0.8
188,Toni Villa,2,-,0.7,1.1,1.5,0.1,0.9,0.9
189,Iván Villar,-,-,-,-,-,-,-,-
190,Luis Suárez,5,1,1.7,1,1.2,0.1,1,1
191,Enes Ünal,4,2,1.4,0.6,1.3,0.2,1.3,1.3
192,Paco Alcácer,6,4,1.4,0.3,0.3,0.6,0.3,0.3
193,Unai López,3,-,1,0.6,0.8,-,0.5,0.5
194,Aitor Ruibal,2,2,1.2,1.3,0.6,0.2,1.3,1.3
195,Raúl Guti,3,1,0.8,0.8,1.5,-,0.9,0.9
196,Luis Rioja,4,2,0.7,1.1,0.8,0.2,0.7,0.7
197,Jaime Seoane,1,1,0.8,0.7,1.1,-,0.7,0.7
198,Fabián Orellana,6,2,1,1,1.9,0.2,2,2
199,Rubén Alcaraz,1,-,0.9,0.5,1.5,-,0.5,0.5
200,Pervis Estupiñán,-,-,0.4,0.4,0.8,0.2,0.7,0.7
201,Jens Jønsson,-,-,0.4,0.4,0.7,-,0.3,0.3
202,Antonio Barragán,-,3,0.2,0.4,0.9,0.1,0.3,0.3
203,Yeremy Pino,3,1,0.5,1.2,0.6,0.1,0.4,0.4
204,Cristian Tello,5,3,1.2,0.8,0.3,0.1,0.3,0.3
205,Pablo Insua,-,-,0.2,0.2,0.3,0.1,0.1,0.1
206,Pape Diop,1,1,0.8,0.2,0.6,0.1,0.4,0.4
207,Munir El Haddadi,4,2,1.3,0.5,1.2,0.3,0.9,0.9
208,Dani García,-,1,0.2,0.2,0.8,-,0.4,0.4
209,Rafa Soares,-,1,0.1,0.2,0.1,0.1,0.3,0.3
210,Édgar Méndez,5,1,1.1,0.5,1.5,0.2,0.8,0.8
211,Maxime Gonalons,-,1,0.2,0.7,1.1,0.1,0.7,0.7
212,Germán Sánchez,3,1,0.4,-,0.9,0.1,0.1,0.1
213,Antonio Puertas,3,5,0.7,1.2,0.7,0.4,1.2,1.2
214,Álex Remiro,-,-,-,-,0.2,-,-,-
215,Ángel Montoro,1,1,0.7,0.2,0.9,-,0.3,0.3
216,Ander Guevara,1,1,0.3,0.5,0.5,-,0.7,0.7
217,Damián Suárez,1,-,0.3,0.7,1.2,-,0.5,0.5
218,Pere Milla,4,3,0.9,0.6,1.7,0.2,1,1
219,Marcos André,4,1,1.4,0.6,1.1,0.3,0.7,0.7
220,Bruno González,1,-,0.2,0.1,0.6,-,-,-
221,Fali,-,-,0.3,0.1,0.7,-,0.1,0.1
222,David Soria,-,-,-,-,0.1,-,-,-
223,Mouctar Diakhaby,1,-,0.4,0.3,0.3,0.2,-,-
224,Quini,1,-,0.4,0.7,0.5,-,0.8,0.8
225,Portu,8,3,0.8,0.4,0.7,0.6,0.6,0.6
226,Tomás Pina,1,1,0.3,0.5,0.9,0.1,0.4,0.4
227,Diego Lainez,-,2,0.6,1.4,1.3,0.1,1.1,1.1
228,Joseph Aidoo,-,-,0.4,0.1,0.5,-,0.1,0.1
229,Néstor Araújo,-,-,0.2,0.2,0.1,-,-,-
230,Pedro Mosquera,-,-,0.3,0.4,0.8,-,0.5,0.5
231,Fernando Pacheco,-,-,-,-,0.1,-,-,-
232,Jon Moncayola,2,-,1.1,0.2,0.3,-,0.4,0.4
233,Jon Morcillo,2,2,0.8,0.4,0.5,0.1,0.7,0.7
234,Andrés Guardado,1,-,0.5,0.5,0.4,-,0.5,0.5
235,Luuk de Jong,4,-,0.9,0.3,0.9,0.3,0.4,0.4
236,Isco,-,2,0.8,1.2,0.7,-,0.7,0.7
237,Conan Ledesma,-,-,-,-,0.2,-,-,-
238,Allan Nyom,-,2,0.3,0.4,0.6,-,0.7,0.7
239,Sergio Postigo,-,-,-,0.1,0.5,-,-,-
240,Rui Silva,-,-,-,-,0.1,-,-,-
241,Roberto Torres,7,1,1.4,0.5,0.9,-,0.6,0.6
242,Óscar De Marcos,1,2,0.2,0.3,0.2,0.1,0.2,0.2
243,Mikel Vesga,-,1,0.7,0.3,0.4,-,0.3,0.3
244,Carlos Bacca,5,-,0.9,0.2,0.3,0.3,0.5,0.5
245,Rodrigo Battaglia,1,-,0.5,0.6,0.9,-,0.5,0.5
246,Diego González,1,-,0.3,0.4,0.2,-,0.2,0.2
247,Dani Calvo,2,-,0.3,0.1,0.7,0.1,-,-
248,Pedro López,-,1,0.1,0.4,0.7,0.1,0.2,0.2
249,Borja García,1,-,0.7,1,1.6,-,1.4,1.4
250,Rober Pier,-,1,0.4,0.4,0.3,0.1,0.3,0.3
251,Marcos Mauro,2,-,0.3,-,0.2,-,-,-
252,Mikel Rico,1,4,0.6,0.7,0.7,0.1,0.7,0.7
253,Anthony Lozano,3,1,1.2,1,1.1,0.3,1.2,1.2
254,Marko Dmitrovic,1,-,0.1,-,0.1,-,-,-
255,Mikel Balenziaga,-,1,0.1,0.4,0.7,-,0.4,0.4
256,Denis Cheryshev,-,3,1,0.4,0.7,0.1,0.5,0.5
257,Aitor Fernández,-,-,-,-,0.1,-,-,-
258,Ander Barrenetxea,3,-,0.7,1.3,0.6,0.1,1.1,1.1
259,Pedro Bigas,-,-,0.5,-,0.3,-,-,-
260,Nacho Martínez,-,1,0.3,0.4,1,-,0.4,0.4
261,Shon Weissman,6,1,1.2,0.3,0.5,0.7,0.4,0.4
262,Víctor Laguardia,-,1,0.3,-,0.3,-,-,-
263,Oihan Sancet,2,2,0.8,0.8,0.7,0.2,1.1,1.1
264,Oier Sanjurjo,-,2,0.5,0.2,1.2,0.1,0.5,0.5
265,Nemanja Radoja,-,2,0.3,0.5,0.4,-,0.4,0.4
266,Jordi Masip,-,-,-,-,0.1,-,-,-
267,Miralem Pjanic,-,-,0.8,0.4,0.5,-,0.4,0.4
268,Juan Cruz,-,-,-,0.3,0.2,0.1,0.3,0.3
269,Domingos Duarte,1,-,0.2,0.1,0.7,-,0.1,0.1
270,Carlos Neva,-,-,0.4,0.2,1.1,-,0.3,0.3
271,Kike Pérez,-,-,0.6,0.8,1,-,0.9,0.9
272,Trincão,3,2,0.8,1,0.5,0.3,0.7,0.7
273,Dimitri Foulquier,-,4,0.3,0.8,0.8,0.1,0.8,0.8
