,Name,Goals,Assists,SpG,Drb,Fouled,Off,Disp,UnsTch
100,Michael Keane,2,-,0.5,-,0.3,-,0.1,0.1
101,Pierre-Emile Højbjerg,-,1,1.4,1.2,1.1,-,0.8,0.8
102,Jan Bednarek,1,1,0.2,0.1,0.4,-,-,-
103,Yerry Mina,2,1,1,0.2,0.4,0.1,-,-
104,Toby Alderweireld,2,2,0.5,-,0.1,-,0.2,0.2
105,Enda Stevens,2,4,0.6,1.6,0.5,0.1,1.1,1.1
106,Rúben Neves,2,2,1.6,0.6,0.4,-,0.3,0.3
107,Oliver Norwood,1,1,0.4,0.2,0.4,-,0.1,0.1
108,Christian Benteke,2,1,1.7,0.8,0.8,0.5,1,1
109,Georginio Wijnaldum,4,-,1,1.1,0.9,-,0.8,0.8
110,James McArthur,-,3,0.8,0.8,0.9,0.1,1.1,1.1
111,Jonny Otto,2,2,0.5,0.9,0.8,0.1,1,1
112,David McGoldrick,2,2,1.6,1.1,0.6,0.4,1,1
113,Nicolás Otamendi,2,-,0.6,0.1,0.1,-,0.1,0.1
114,Ryan Fredericks,-,3,0.1,0.4,0.8,-,0.4,0.4
115,Adam Webster,3,1,0.5,0.5,0.6,-,0.2,0.2
116,Robert Snodgrass,5,5,0.9,0.8,1.3,0.2,1,1
117,Jan Vertonghen,1,1,0.2,0.2,0.7,-,0.3,0.3
118,Ashley Westwood,2,6,0.4,0.2,0.9,-,0.3,0.3
119,George Baldock,2,3,0.3,1.1,1.2,0.3,0.6,0.6
120,Granit Xhaka,1,2,0.4,0.8,1,-,0.4,0.4
121,Joe Gomez,-,-,-,0.3,0.5,-,0.1,0.1
122,Antonio Rüdiger,2,-,0.6,0.2,0.4,-,0.2,0.2
123,Nick Pope,-,-,-,-,0.2,-,-,-
124,Ayoze Pérez,8,4,1.4,1.1,0.9,0.2,1.8,1.8
125,Mason Holgate,-,3,0.4,0.4,0.9,-,0.2,0.2
126,Joshua King,6,4,1,2,1,0.3,2.1,2.1
127,Harvey Barnes,6,8,1.7,1.2,0.8,0.1,0.6,0.6
128,Diogo Jota,7,1,2,1.9,1.8,0.1,1.6,1.6
129,Wesley,5,1,1.7,0.6,0.7,0.7,0.9,0.9
130,Patrick van Aanholt,3,2,0.9,0.6,0.3,0.1,0.5,0.5
131,Fabian Schär,2,-,0.9,0.7,1.1,0.1,0.2,0.2
132,Nathan Aké,2,2,0.9,0.1,0.4,0.1,0.2,0.2
133,Andreas Christensen,-,-,0.3,0.2,0.5,-,-,-
134,Angelo Ogbonna,2,-,0.4,0.2,0.5,-,0.1,0.1
135,Mason Greenwood,10,1,1.3,0.7,0.3,0.1,0.5,0.5
136,Moussa Sissoko,2,1,0.5,1.4,0.6,0.1,0.7,0.7
137,Federico Fernández,2,2,0.5,0.3,0.6,0.1,0.1,0.1
138,Kasper Schmeichel,-,-,-,-,0.2,-,-,-
139,Chris Wood,14,1,2,0.2,0.9,1.1,0.9,0.9
140,Martin Dúbravka,-,-,-,-,0.1,-,-,-
141,Steve Cook,1,-,0.4,0.1,0.5,-,0.1,0.1
142,Dean Henderson,-,-,-,-,0.1,-,-,-
143,Isaac Hayden,1,2,0.6,0.9,0.7,0.1,0.6,0.6
144,Craig Dawson,2,-,0.9,0.1,0.4,-,0.1,0.1
145,Ismaïla Sarr,5,4,1.6,1.7,1.7,0.5,2,2
146,Yves Bissouma,1,-,0.7,1.5,0.7,-,1.1,1.1
147,Alex McCarthy,-,-,-,0.1,0.1,-,-,-
148,Victor Lindelöf,1,-,0.2,0.1,0.2,-,0.1,0.1
149,Tanguy Ndombélé,2,2,0.4,1.8,1.4,-,1.1,1.1
150,Jefferson Lerma,1,2,0.9,0.8,1.1,-,0.5,0.5
151,Ilkay Gündogan,2,1,1.1,0.6,0.5,0.1,0.4,0.4
152,John Lundstram,5,3,1.3,0.5,0.4,0.2,0.4,0.4
153,Christian Kabasele,-,2,0.3,0.3,0.5,-,0.2,0.2
154,Miguel Almirón,4,2,1.6,1.3,1.6,0.7,1,1
155,Jamaal Lascelles,1,-,0.4,0.2,0.8,0.1,0.2,0.2
156,Conor Hourihane,3,5,1.1,0.1,0.8,0.1,0.3,0.3
157,Aaron Ramsdale,-,1,-,-,0.1,-,-,-
158,Mattéo Guendouzi,-,1,0.5,1,2,-,0.9,0.9
159,Gary Cahill,-,1,0.8,0.2,0.5,-,0.2,0.2
160,Vicente Guaita,-,-,-,-,0.1,-,-,-
161,Leander Dendoncker,4,-,0.5,0.4,0.2,-,0.3,0.3
162,Luka Milivojevic,3,1,1,0.2,0.9,-,0.4,0.4
163,Joelinton,2,2,1.3,1.1,1.1,0.5,1.6,1.6
164,Mark Noble,4,3,0.5,0.8,0.9,-,0.9,0.9
165,Abdoulaye Doucouré,4,2,1.6,1.1,0.4,0.2,0.8,0.8
