,Name,Goals,Assists,SpG,Drb,Fouled,Off,Disp,UnsTch
245,Samuel Moutoussamy,-,2,0.6,0.5,0.4,-,0.5,0.5
246,Adil Rami,-,1,0.5,0.2,0.7,0.1,-,-
247,Ibrahima Sissoko,-,2,0.5,0.3,0.6,0.1,0.7,0.7
248,Paul Bernardoni,-,-,-,-,0.1,-,-,-
249,Julian Jeanvier,1,-,0.4,0.1,0.5,-,0.1,0.1
250,Lassine Sinayoko,1,2,1.3,0.8,0.7,0.2,1,1
251,Pablo Rosario,-,1,0.3,0.2,0.4,-,0.4,0.4
252,Julien Ponceau,1,4,0.5,0.3,0.8,0.1,0.6,0.6
253,Souleyman Doumbia,-,-,0.3,1.1,0.8,0.1,0.4,0.4
254,Cyrille Bayala,1,1,0.7,0.8,0.8,0.2,1.1,1.1
255,Arbër Zeneli,-,2,1.3,0.7,0.5,0.1,1,1
256,Billal Brahimi,3,2,0.8,0.7,0.3,0.2,0.5,0.5
257,Oumar Gonzalez,-,-,0.4,0.2,1.5,0.1,0.3,0.3
258,Moussa Sissoko,2,-,0.6,0.5,0.5,0.1,0.6,0.6
259,Thierno Baldé,-,1,0.2,1.2,1.1,0.1,0.5,0.5
260,Yoann Cathline,1,1,1.1,1,1.2,-,1.2,1.2
261,Abdallah Sima,5,1,1.1,0.6,0.7,0.4,0.9,0.9
262,Birger Meling,-,1,-,0.2,0.6,0.1,0.3,0.3
263,Adrien Hunou,4,1,1.3,0.4,1.3,0.1,0.7,0.7
264,Cédric Hountondji,-,-,0.3,-,0.3,-,0.1,0.1
265,Pierrick Capelle,-,3,0.6,0.5,0.2,-,0.8,0.8
266,Ismaël Diallo,-,-,0.1,0.5,1.2,-,0.4,0.4
267,Batista Mendy,-,-,0.4,1.1,1.2,-,0.8,0.8
268,Amine Salama,3,1,1,0.9,0.4,0.2,0.8,0.8
269,Mitchell van Bergen,-,1,0.9,0.5,0.3,0.1,0.4,0.4
270,Mickaël Alphonse,-,-,0.4,0.4,0.6,-,0.5,0.5
271,Moussa Diarra,-,1,-,0.4,0.7,-,0.2,0.2
272,Denis Genreau,-,1,0.4,0.4,0.2,0.2,0.3,0.3
273,Komnen Andric,4,3,0.9,0.2,1.2,0.2,0.9,0.9
274,Ruben Aguilar,-,-,0.2,0.4,0.7,0.1,0.2,0.2
275,Maxime Busi,-,1,0.1,0.3,0.3,-,0.2,0.2
276,Khalil Fayad,-,2,0.3,0.3,0.7,-,0.3,0.3
277,Bonke Innocent,-,1,0.2,0.2,0.4,-,0.2,0.2
278,Erik Palmer-Brown,-,-,0.3,0.2,0.3,-,0.4,0.4
279,Florent Ogier,-,1,0.1,0.2,0.3,-,-,-
280,Gauthier Hein,2,-,1.1,0.5,0.4,0.1,0.7,0.7
281,Thomas Mangani,1,1,0.4,0.2,0.5,-,0.1,0.1
282,Moussa Dembélé,3,-,1.2,0.2,0.1,0.3,0.7,0.7
283,Benoît Costil,-,-,-,0.1,-,-,-,-
284,Enzo Tchato,1,1,0.2,0.2,0.3,0.1,0.3,0.3
285,Marcus Coco,1,-,0.3,0.3,0.4,0.1,0.4,0.4
286,Romain Hamouma,2,2,0.8,0.8,0.8,0.2,0.7,0.7
287,M'Baye Niang,6,-,1.3,0.3,1.4,0.3,0.7,0.7
288,Warren Zaïre-Emery,2,-,0.3,0.6,0.2,0.1,0.5,0.5
289,Clément Vidal,1,-,0.5,-,0.7,-,0.2,0.2
290,Youssouf M'Changama,-,-,0.7,0.4,0.7,-,0.3,0.3
291,Mohamed Bayo,4,1,0.8,0.4,0.1,0.2,0.5,0.5
292,Eliot Matazo,1,-,0.2,0.2,0.5,-,0.5,0.5
293,Jérémie Bela,1,1,0.6,0.5,0.9,-,0.4,0.4
294,Ismail Jakobs,-,2,0.4,0.2,0.3,-,0.2,0.2
295,Carlos Baleba,-,-,0.6,0.8,0.9,-,0.9,0.9
296,Sada Thioub,1,2,0.3,0.6,0.2,-,0.7,0.7
297,Andreas Bruus,-,2,0.4,0.6,0.3,0.1,0.1,0.1
298,Kevin Spadanuda,-,1,0.3,1,1,-,1,1
299,Sébastien Corchia,-,1,0.2,0.1,0.8,-,0.3,0.3
300,Benjamin Leroy,-,-,-,-,0.1,-,-,-
301,Mathieu Coutadeur,-,-,0.1,0.2,0.5,-,0.3,0.3
302,Riad Nouri,1,1,0.5,0.4,0.5,0.2,0.5,0.5
303,Valère Germain,2,-,0.6,-,0.1,0.1,0.3,0.3
304,Matthis Abline,2,1,1.4,0.6,0.5,0.3,0.9,0.9
305,Lebo Mothiba,3,-,0.5,0.2,0.6,-,0.4,0.4
306,Ado Onaiwu,2,1,0.6,0.2,0.4,0.1,0.8,0.8
307,Abdoulaye Bamba,-,-,-,0.2,0.6,0.2,0.2,0.2
308,Iké Ugbo,2,1,0.6,0.2,0.4,0.2,0.3,0.3
309,Cédric Avinel,1,-,0.1,-,0.1,-,-,-
310,Veljko Birmancevic,-,-,0.5,0.2,0.3,-,0.1,0.1
