,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating
130,Leonardo Sernicola,Cremonese,26," D(R),M(R)",27(5),2319,2,2,11,-,0.8,72.6,0.9,3,6.65
131,Sebastiano Luperto,Empoli,27, D(CL),36,3137,2,-,2,2,0.5,86.6,2,3,6.65
132,Wladimiro Falcone,Lecce,29, GK,38,3420,-,-,2,-,-,44.8,0.3,4,6.65
133,Ricardo Rodríguez,Torino,31," D(CL),M(L)",30(5),2670,-,-,3,-,0.3,84.1,0.9,-,6.65
134,Nemanja Matic,Roma,35, DMC,16(19),1839,2,2,5,-,0.3,86.7,0.6,-,6.65
135,Mike Maignan,AC Milan,28, GK,22,1979,-,1,-,-,-,80.6,0.1,1,6.64
136,Aleksey Miranchuk,Torino,28," M(CR),FW",24(5),2099,4,5,-,-,1.4,81.4,0.3,-,6.64
137,M'Bala Nzola,Spezia,27, FW,29(2),2654,13,2,8,-,2,80.5,1.4,3,6.64
138,Stefano Sensi,Monza,28, AM(C),21(7),1629,3,1,8,-,0.6,87.4,0.3,1,6.64
139,Eljif Elmas,Napoli,24," M(CLR),FW",14(22),1618,6,3,5,-,0.9,88.1,0.1,1,6.64
140,Emil Holm,Spezia,23, M(R),17(3),1398,1,1,4,-,0.8,61.4,3.3,1,6.64
141,Nikola Moro,Bologna,26, M(C),12(14),1224,1,5,1,-,0.8,81.6,0.8,-,6.64
142,Tyronne Ebuehi,Empoli,28, D(LR),22(4),1926,2,4,-,-,0.7,80.5,0.7,1,6.64
143,Wilfried Singo,Torino,23," D(CR),M(R)",24(7),2056,2,1,8,-,1.1,76.8,1.7,-,6.64
144,Dany Mota,Monza,26," AM(CL),FW",21(8),1925,5,1,2,-,1,74.2,1.1,-,6.64
145,Dodô,Fiorentina,25, D(R),28(5),2341,1,3,3,1,0.3,84.2,0.6,1,6.64
146,Giorgio Scalvini,Atalanta,20, D(C),29(3),2346,2,2,7,-,0.5,81.5,1.5,-,6.63
147,Ethan Ampadu,Spezia,23," D(C),DMC",31,2649,-,1,8,1,0.5,81.5,2,1,6.63
148,Lorenzo Montipò,Verona,28, GK,37,3330,-,-,2,-,-,58.5,0.1,-,6.63
149,Pedro,Lazio,36," M(CLR),FW",17(19),1896,4,3,1,-,1.2,84.3,-,1,6.63
150,Matteo Darmian,Inter,34," D(CLR),M(LR)",24(7),2032,1,2,3,-,0.2,87,0.5,-,6.63
151,Samuel Umtiti,Lecce,30, D(CL),24(1),2115,-,-,8,-,0.5,83.9,1.4,-,6.62
152,Mehdi Léris,Sampdoria,25, M(CLR),29(3),2465,1,1,13,-,0.9,69.9,3,-,6.62
153,Musa Barrow,Bologna,25," AM(CL),FW",26(6),1971,3,8,3,-,2,79.8,0.4,-,6.62
154,Valentin Gendrey,Lecce,23, D(R),35(2),3103,-,2,4,-,0.3,73.6,1.3,-,6.62
155,Simone Verdi,Verona,31," AM(CLR),FW",12(12),1093,5,-,3,-,1.3,75.6,0.4,3,6.62
156,Samuele Ricci,Torino,22, AM(C),23(5),2073,2,1,6,-,0.8,89.5,0.4,-,6.62
157,Nicolò Cambiaghi,Empoli,23," AM(CLR),FW",12(16),1282,6,1,3,1,1.3,80.6,0.1,1,6.61
158,Pablo Marí,Monza,30, D(C),28(2),2489,1,-,4,-,0.3,88.8,2,-,6.61
159,Arthur Cabral,Fiorentina,26, FW,15(13),1433,8,1,4,-,1.9,69.1,1.8,1,6.61
160,Alexis Blin,Lecce,27, DMC,26(9),2380,1,-,8,-,0.6,81.3,1.6,1,6.60
161,Danilo Cataldi,Lazio,29, M(C),26(3),1942,-,1,5,-,0.2,88.6,0.1,-,6.60
162,David Okereke,Cremonese,26," AM(CLR),FW",25(8),2277,7,-,4,-,1.8,72.6,1.5,-,6.60
163,Matteo Politano,Napoli,30," AM(CLR),FW",14(13),1168,3,3,1,-,1.2,81.8,0.1,-,6.60
164,Jhon Lucumí,Bologna,25, D(C),33,2902,-,1,8,-,0.3,88.8,1.2,-,6.60
165,Isak Hien,Verona,25, D(C),28(4),2608,-,-,9,-,0.1,75.3,2.5,-,6.60
166,Martin Erlic,Sassuolo,26, D(C),26(2),2332,-,-,2,-,0.1,86.1,1.8,-,6.59
167,Krzysztof Piatek,Salernitana,28, FW,23(10),2144,4,5,5,-,1.8,70.1,2.7,1,6.59
168,Nicola Zalewski,Roma,22, M(LR),26(7),2210,2,1,3,-,0.9,79.1,0.1,1,6.59
169,Alessandro Zanoli,Sampdoria,23," D(R),M(R)",16(6),1539,2,2,3,-,0.7,79.4,0.5,1,6.59
